,total_cpu,total_mem,gazebo_cpu,gazebo_mem,UAV_1_sup_cpu,UAV_1_sup_mem,UAV_2_sup_cpu,UAV_2_sup_mem,pioneer3at_1_sup_cpu,pioneer3at_1_sup_mem,pioneer3at_2_sup_cpu,pioneer3at_2_sup_mem
0.0,98.8,14.1,0.0,1.7952331225546931,,,,,,,,
1.3599999999999999,82.2,15.4,15.2,3.616131894678392,0.0,0.24870136070516066,0.0,0.2484459205909668,0.0,0.24866486926027584,0.0,0.24837293770119712
2.74,91.1,18.3,32.1375,6.191527781241087,0.05,0.24870136070516066,0.0625,0.2484459205909668,0.05,0.24881083503981521,0.0375,0.24837293770119712
4.17,97.8,18.6,32.8375,6.40950334535321,0.3625,0.24881083503981521,0.125,0.2484459205909668,0.2375,0.24884732648470004,0.2375,0.24837293770119712
5.455,96.9,18.6,27.25,6.373303832027446,0.3125,0.24881083503981521,0.2125,0.24859188637050617,0.2125,0.24884732648470004,0.3125,0.24849457585081322
6.635,96.3,18.7,32.5625,6.382037451169886,0.2,0.24883516266973843,0.3,0.248628377815391,0.3,0.24884732648470004,0.2,0.24849457585081322
7.85,96.7,18.7,28.175,6.392632134001451,0.15,0.24883516266973843,0.45,0.248628377815391,0.3,0.24884732648470004,0.3,0.24849457585081322
9.0,96.8,18.8,29.4,6.394517525320501,0.2875,0.24883516266973843,0.1375,0.248628377815391,0.1375,0.24884732648470004,0.1375,0.24849457585081322
10.075,97.9,18.8,31.325,6.394517525320501,0.3375,0.24883516266973843,0.3375,0.248628377815391,0.3375,0.24884732648470004,0.5125,0.24849457585081322
11.405,96.3,18.8,31.125,6.399091119746068,0.2375,0.24883516266973843,0.3625,0.248628377815391,0.3625,0.24884732648470004,0.2375,0.24849457585081322
12.51,96.6,18.9,27.0625,6.4132498003613865,0.325,0.24883516266973843,0.1625,0.248628377815391,0.1625,0.24884732648470004,0.325,0.24849457585081322
13.61,96.6,18.9,30.849999999999998,6.428758664437444,0.375,0.24883516266973843,0.375,0.248628377815391,0.25,0.24884732648470004,0.25,0.24849457585081322
14.85,96.4,18.9,34.712500000000006,6.428782992067367,0.225,0.24883516266973843,0.1125,0.248628377815391,0.35,0.24884732648470004,0.2375,0.24849457585081322
15.965,97.1,18.9,32.599999999999994,6.428795155882328,0.3,0.24883516266973843,0.3,0.248628377815391,0.15,0.24884732648470004,0.3,0.24849457585081322
17.29,95.8,18.9,30.6375,6.428795155882328,0.2,0.24883516266973843,0.2,0.248628377815391,0.3,0.24884732648470004,0.2,0.24849457585081322
18.37,96.5,19.0,32.3875,6.428795155882328,0.25,0.24883516266973843,0.25,0.248628377815391,0.25,0.24884732648470004,0.25,0.24849457585081322
19.45,96.0,19.0,32.6375,6.428795155882328,0.1375,0.24883516266973843,0.1375,0.248628377815391,0.1375,0.24884732648470004,0.275,0.24849457585081322
20.705,96.7,19.0,33.575,6.428795155882328,0.225,0.24883516266973843,0.325,0.248628377815391,0.325,0.24884732648470004,0.225,0.24849457585081322
21.975,97.0,19.0,29.5875,6.429877735413912,0.3,0.24883516266973843,0.3,0.248628377815391,0.3,0.24884732648470004,0.3,0.24849457585081322
23.215,97.0,19.0,34.675,6.429877735413912,0.325,0.24883516266973843,0.2125,0.248628377815391,0.2125,0.24884732648470004,0.325,0.24849457585081322
24.38,95.9,19.0,32.3875,6.429902063043836,0.325,0.24883516266973843,0.325,0.248628377815391,0.325,0.24884732648470004,0.2125,0.24849457585081322
25.55,96.6,19.0,29.837500000000002,6.429902063043836,0.2,0.24883516266973843,0.2,0.248628377815391,0.2,0.24884732648470004,0.2,0.24849457585081322
26.76,96.5,19.0,33.375,6.429902063043836,0.275,0.24883516266973843,0.1875,0.248628377815391,0.2875,0.24884732648470004,0.2875,0.24849457585081322
27.99,96.4,19.0,31.075,6.429902063043836,0.2375,0.24883516266973843,0.35,0.248628377815391,0.225,0.24884732648470004,0.225,0.24849457585081322
29.135,95.9,19.0,29.075,6.429902063043836,0.2375,0.24883516266973843,0.1125,0.248628377815391,0.2375,0.24884732648470004,0.2375,0.24849457585081322
30.545,96.5,19.0,32.6875,6.429902063043836,0.25,0.24883516266973843,0.25,0.248628377815391,0.25,0.24884732648470004,0.3625,0.24849457585081322
31.98,96.3,19.0,33.849999999999994,6.429926390673759,0.325,0.24883516266973843,0.425,0.248628377815391,0.325,0.24884732648470004,0.2125,0.24849457585081322
33.165,96.4,19.1,32.7,6.429926390673759,0.2875,0.24883516266973843,0.1375,0.248628377815391,0.2875,0.24884732648470004,0.2875,0.24849457585081322
34.425,96.9,19.0,30.7125,6.429926390673759,0.225,0.24883516266973843,0.325,0.248628377815391,0.225,0.24884732648470004,0.325,0.24849457585081322
35.595,96.8,19.0,32.9625,6.429926390673759,0.325,0.24883516266973843,1.3,0.24933387908316462,0.325,0.24884732648470004,0.2125,0.24849457585081322
36.76,97.5,19.0,31.387500000000003,6.429926390673759,0.3125,0.24883516266973843,3.1125,0.24939469815797266,0.15,0.24884732648470004,0.15,0.24849457585081322
37.97,97.3,19.0,27.9875,6.429926390673759,0.1875,0.24883516266973843,0.775,0.2496136468272817,0.3875,0.24884732648470004,0.1875,0.24849457585081322
39.23,97.0,19.0,29.7,6.429926390673759,0.225,0.24883516266973843,1.7125,0.24973528497689787,0.1125,0.24884732648470004,0.35,0.24849457585081322
40.495,96.3,19.1,31.799999999999997,6.429926390673759,0.2875,0.24883516266973843,0.2875,0.24985692312651403,0.2875,0.24884732648470004,0.2,0.24849457585081322
