,time,robot,robot_status,task,task_status
0,16,UAV_2,busy,assessment1_0,executing
1,578,pioneer3at_2,busy,building2_0,executing
2,658,pioneer3at_2,idle,building2_0,finished
3,679,pioneer3at_2,busy,building2_1,suspended
4,679,pioneer3at_2,busy,building2_1,executing
5,721,UAV_2,idle,assessment1_0,finished
6,722,UAV_1,busy,assessment1_1,executing
7,753,pioneer3at_1,busy,building1_0,executing
8,802,pioneer3at_1,idle,building1_0,finished
9,803,pioneer3at_1,busy,building1_1,executing
10,855,pioneer3at_2,busy,building2_1,suspended
11,874,pioneer3at_1,idle,building1_1,finished
12,874,pioneer3at_1,busy,building1_2,executing
13,920,pioneer3at_1,idle,building1_2,finished
14,921,pioneer3at_1,busy,building1_3,executing
15,938,pioneer3at_2,busy,building2_1,executing
16,946,pioneer3at_2,idle,building2_1,finished
17,946,pioneer3at_2,busy,building2_2,executing
18,967,UAV_2,busy,external2_0,executing
19,977,pioneer3at_1,idle,building1_3,finished
20,978,pioneer3at_1,busy,building1_4,executing
21,984,pioneer3at_1,busy,building1_4,aborted
22,984,pioneer3at_1,busy,external1_0,executing
23,995,pioneer3at_1,busy,external1_0,suspended
24,1006,pioneer3at_2,idle,building2_2,finished
25,1006,pioneer3at_2,busy,building2_3,executing
26,1079,pioneer3at_1,busy,external1_0,executing
27,1088,pioneer3at_2,idle,building2_3,finished
28,1089,pioneer3at_2,busy,building2_4,executing
29,1117,pioneer3at_2,unable,-,-
30,1137,pioneer3at_2,idle,building2_4,finished
31,1137,pioneer3at_2,unable,-,-
32,1137,pioneer3at_2,busy,building2_4,executing
33,1137,pioneer3at_2,unable,-,-
34,1168,UAV_2,busy,external2_0,suspended
35,1208,pioneer3at_1,idle,external1_0,finished
36,1209,pioneer3at_1,busy,building2_5,executing
37,1312,pioneer3at_1,busy,building2_5,suspended
38,1409,UAV_2,busy,external2_0,executing
39,1489,pioneer3at_1,busy,building2_5,executing
40,1565,UAV_2,unable,-,-
41,1565,UAV_2,unable,external2_0,aborted
42,1566,pioneer3at_2,busy,building2_4,aborted
43,1566,pioneer3at_2,busy,external2_0,executing
44,1737,pioneer3at_1,unable,-,-
45,1737,pioneer3at_1,unable,building2_5,aborted
46,1802,pioneer3at_2,busy,external2_0,suspended
47,1855,UAV_1,unable,-,-
48,1855,UAV_1,unable,assessment1_1,aborted
49,1939,pioneer3at_2,busy,external2_0,executing
50,2006,pioneer3at_2,unable,-,-
51,2327,pioneer3at_2,unable,external2_0,aborted
