,time,robot,robot_status,task,task_status
0,68,pioneer3at_1,busy,-,-
1,68,pioneer3at_1,busy,building2_0,executing
2,167,pioneer3at_1,idle,-,-
3,167,pioneer3at_1,idle,building2_0,finished
4,167,pioneer3at_1,busy,-,-
5,167,pioneer3at_1,busy,building2_1,executing
6,177,pioneer3at_1,busy,building2_1,aborted
7,177,pioneer3at_1,busy,exp_test_0,executing
8,294,pioneer3at_1,busy,exp_test_0,aborted
9,294,pioneer3at_1,busy,p1_rb_0,executing
10,344,pioneer3at_1,idle,-,-
11,344,pioneer3at_1,idle,p1_rb_0,aborted
12,345,pioneer3at_1,busy,-,-
13,345,pioneer3at_1,busy,exp_test_0,executing
14,362,pioneer3at_1,busy,exp_test_0,suspended
15,385,pioneer3at_1,busy,exp_test_0,executing
16,609,pioneer3at_1,idle,-,-
17,609,pioneer3at_1,idle,exp_test_0,aborted
18,610,pioneer3at_1,busy,-,-
19,610,pioneer3at_1,busy,building2_1,executing
20,804,pioneer3at_1,busy,building2_1,suspended
21,806,pioneer3at_1,busy,building2_1,executing
