,time,robot,robot_status,task,task_status
0,61,UAV_2,busy,-,-
1,61,UAV_2,busy,assessment1_0,executing
2,87,pioneer3at_2,busy,-,-
3,87,pioneer3at_2,busy,building1_0,executing
4,103,pioneer3at_1,busy,-,-
5,103,pioneer3at_1,busy,building2_0,executing
6,113,UAV_1,busy,-,-
7,113,UAV_1,busy,external1_0,executing
8,142,pioneer3at_2,idle,-,-
9,142,pioneer3at_2,idle,building1_0,finished
10,142,pioneer3at_2,busy,-,-
11,142,pioneer3at_2,busy,building1_1,executing
12,182,UAV_2,busy,assessment1_0,suspended
13,204,pioneer3at_1,idle,-,-
14,204,pioneer3at_1,idle,building2_0,finished
15,204,pioneer3at_1,busy,-,-
16,204,pioneer3at_1,busy,building2_1,executing
17,211,pioneer3at_2,idle,-,-
18,211,pioneer3at_2,idle,building1_1,finished
19,212,pioneer3at_2,busy,-,-
20,212,pioneer3at_2,busy,building1_2,executing
21,252,UAV_2,unable,-,-
22,252,UAV_2,unable,assessment1_0,aborted
23,258,pioneer3at_1,busy,building2_1,suspended
24,287,pioneer3at_2,idle,-,-
25,287,pioneer3at_2,idle,building1_2,finished
26,288,pioneer3at_2,busy,-,-
27,288,pioneer3at_2,busy,building1_3,executing
28,360,UAV_1,busy,external1_0,suspended
29,369,pioneer3at_2,idle,-,-
30,369,pioneer3at_2,idle,building1_3,finished
31,370,pioneer3at_2,busy,-,-
32,370,pioneer3at_2,busy,building1_4,executing
33,384,UAV_1,unable,-,-
34,384,UAV_1,unable,external1_0,aborted
35,384,pioneer3at_1,busy,building2_1,aborted
36,384,pioneer3at_1,busy,external1_0,executing
37,384,pioneer3at_1,busy,external1_0,suspended
38,423,pioneer3at_2,idle,-,-
39,423,pioneer3at_2,idle,building1_4,finished
40,423,pioneer3at_2,busy,-,-
41,423,pioneer3at_2,busy,building1_5,executing
