,time,robot,robot_status,task,task_status
0,24,UAV_2,busy,-,-
1,24,UAV_2,busy,assessment1_0,executing
2,60,pioneer3at_2,busy,-,-
3,60,pioneer3at_2,busy,building1_0,executing
4,65,pioneer3at_1,busy,-,-
5,65,pioneer3at_1,busy,building2_0,executing
6,139,pioneer3at_2,idle,-,-
7,139,pioneer3at_2,idle,building1_0,finished
8,139,pioneer3at_2,busy,-,-
9,139,pioneer3at_2,busy,building1_1,executing
10,166,pioneer3at_1,idle,-,-
11,166,pioneer3at_1,idle,building2_0,finished
12,166,pioneer3at_1,busy,-,-
13,166,pioneer3at_1,busy,building2_1,executing
14,193,pioneer3at_1,busy,building2_1,suspended
15,193,pioneer3at_1,busy,building2_1,executing
16,197,UAV_2,unable,-,-
17,197,UAV_2,unable,assessment1_0,aborted
18,198,UAV_1,busy,-,-
19,198,UAV_1,busy,assessment1_0,executing
20,204,pioneer3at_1,busy,building2_1,suspended
21,205,pioneer3at_1,busy,building2_1,executing
22,209,pioneer3at_2,idle,-,-
23,209,pioneer3at_2,idle,building1_1,finished
24,210,pioneer3at_2,busy,-,-
25,224,pioneer3at_1,busy,building2_1,suspended
26,295,pioneer3at_2,idle,-,-
27,296,pioneer3at_2,idle,building1_2,finished
28,296,pioneer3at_2,busy,-,-
29,296,pioneer3at_2,busy,building1_3,executing
30,377,pioneer3at_2,idle,-,-
31,377,pioneer3at_2,idle,building1_3,finished
32,378,pioneer3at_2,busy,-,-
33,378,pioneer3at_2,busy,building1_4,executing
34,427,pioneer3at_1,busy,building2_1,executing
35,429,pioneer3at_2,idle,-,-
36,429,pioneer3at_2,idle,building1_4,finished
37,429,pioneer3at_2,busy,-,-
38,429,pioneer3at_2,busy,building1_5,executing
39,452,pioneer3at_1,busy,building2_1,suspended
40,453,pioneer3at_1,busy,building2_1,executing
41,465,pioneer3at_1,busy,building2_1,suspended
42,465,pioneer3at_1,busy,building2_1,executing
43,473,pioneer3at_2,idle,-,-
44,473,pioneer3at_2,idle,building1_5,aborted
45,474,pioneer3at_1,busy,building2_1,aborted
46,474,pioneer3at_1,busy,building1_5,executing
