,time,robot,robot_status,task,task_status
0,27,UAV_2,busy,-,-
1,27,UAV_2,busy,assessment2_0,executing
2,52,UAV_1,busy,-,-
3,52,UAV_1,busy,assessment1_0,executing
4,255,pioneer3at_2,busy,-,-
5,255,pioneer3at_2,busy,building2_0,executing
6,365,pioneer3at_2,idle,-,-
7,365,pioneer3at_2,idle,building2_0,finished
8,365,pioneer3at_2,busy,-,-
9,365,pioneer3at_2,busy,building2_1,executing
10,431,pioneer3at_1,busy,-,-
11,431,pioneer3at_1,busy,building1_0,executing
12,468,pioneer3at_2,busy,building2_1,suspended
13,508,pioneer3at_1,idle,-,-
14,508,pioneer3at_1,idle,building1_0,finished
15,508,pioneer3at_1,busy,-,-
16,508,pioneer3at_1,busy,building1_1,executing
17,524,pioneer3at_2,busy,building2_1,executing
18,529,UAV_1,idle,-,-
19,529,UAV_1,idle,assessment1_0,finished
20,530,UAV_1,busy,-,-
21,530,UAV_1,busy,assessment1_1,executing
22,538,pioneer3at_2,idle,-,-
23,538,pioneer3at_2,idle,building2_1,finished
24,539,pioneer3at_2,busy,-,-
25,539,pioneer3at_2,busy,building2_2,executing
26,575,UAV_2,busy,assessment2_0,suspended
27,591,pioneer3at_1,idle,-,-
28,591,pioneer3at_1,idle,building1_1,finished
29,591,pioneer3at_1,busy,-,-
30,591,pioneer3at_1,busy,building1_2,executing
31,597,pioneer3at_2,idle,-,-
32,597,pioneer3at_2,idle,building2_2,finished
33,597,pioneer3at_2,busy,-,-
34,597,pioneer3at_2,busy,building2_3,executing
35,609,pioneer3at_2,busy,building2_3,aborted
36,610,pioneer3at_1,busy,building1_2,aborted
37,610,pioneer3at_1,busy,building2_3,executing
38,610,pioneer3at_2,busy,building1_2,executing
39,671,pioneer3at_2,idle,-,-
40,671,pioneer3at_2,idle,building1_2,finished
41,672,pioneer3at_2,busy,-,-
42,672,pioneer3at_2,busy,building1_3,executing
43,687,pioneer3at_1,idle,-,-
44,687,pioneer3at_1,idle,building2_3,finished
45,688,pioneer3at_1,busy,-,-
46,688,pioneer3at_1,busy,building2_4,executing
47,722,pioneer3at_2,idle,-,-
48,722,pioneer3at_2,idle,building1_3,finished
49,722,pioneer3at_2,busy,-,-
50,745,pioneer3at_1,idle,-,-
51,745,pioneer3at_1,idle,building2_4,finished
52,745,pioneer3at_1,busy,-,-
53,745,pioneer3at_1,busy,building2_5,executing
54,755,UAV_2,busy,assessment2_0,executing
55,778,pioneer3at_2,idle,-,-
56,778,pioneer3at_2,idle,building1_4,finished
57,779,pioneer3at_1,busy,building2_5,aborted
58,779,pioneer3at_1,busy,building1_5,executing
59,861,UAV_2,unable,-,-
60,861,UAV_2,unable,assessment2_0,aborted
61,873,UAV_1,busy,assessment1_1,aborted
62,873,UAV_1,busy,external1_0,executing
63,924,pioneer3at_1,busy,building1_5,suspended
64,1070,pioneer3at_1,busy,building1_5,executing
65,1079,pioneer3at_1,busy,building1_5,aborted
66,1079,pioneer3at_1,busy,external2_0,executing
67,1103,pioneer3at_2,busy,-,-
68,1103,pioneer3at_2,busy,p2_rb_0,executing
69,1111,UAV_1,busy,external1_0,suspended
70,1123,pioneer3at_1,busy,external2_0,suspended
71,1169,pioneer3at_2,idle,-,-
72,1169,pioneer3at_2,idle,p2_rb_0,finished
73,1285,pioneer3at_1,busy,external2_0,executing
74,1332,UAV_1,unable,-,-
75,1332,UAV_1,unable,external1_0,aborted
76,1332,pioneer3at_1,busy,external2_0,aborted
77,1332,pioneer3at_1,busy,external1_0,executing
78,1425,pioneer3at_1,busy,external1_0,suspended
79,1673,pioneer3at_1,busy,external1_0,executing
