,robot,event,event_type,param,enabled_events,time
1,pioneer3at_1,on_gs,controllable,(),"['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'st_exp', 'pos_fail', 'critic_fail', 'fail', 'off_gs', 'gas_found', 'er_gs', 'st_rb', 'st_tele', 'on_vs', 'st_vsv']",38
2,pioneer3at_1,on_vs,controllable,(),"['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'st_exp', 'pos_fail', 'critic_fail', 'fail', 'off_gs', 'gas_found', 'er_gs', 'st_rb', 'st_tele', 'off_vs', 'victim_found', 'er_vs', 'st_vsv']",39
3,pioneer3at_1,st_exp,controllable,"(5.0, 5.0, 10.0, 10.0)","['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'er_exp', 'sus_exp', 'end_exp', 'pos_fail', 'critic_fail', 'fail', 'off_gs', 'gas_found', 'er_gs', 'st_rb', 'st_tele', 'off_vs', 'victim_found', 'er_vs', 'st_vsv']",44
4,pioneer3at_1,fail,uncontrollable,(),"['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'er_exp', 'sus_exp', 'end_exp', 'pos_fail', 'critic_fail', 'rst_f', 'off_gs', 'gas_found', 'er_gs', 'st_rb', 'st_tele', 'off_vs', 'victim_found', 'er_vs', 'st_vsv']",72
5,pioneer3at_1,end_exp,uncontrollable,"(5.0, 5.0, 10.0, 10.0)","['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'st_exp', 'pos_fail', 'critic_fail', 'rst_f', 'off_gs', 'gas_found', 'er_gs', 'st_rb', 'st_tele', 'off_vs', 'victim_found', 'er_vs', 'st_vsv']",294
6,pioneer3at_1,off_vs,controllable,(),"['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'st_exp', 'pos_fail', 'critic_fail', 'rst_f', 'off_gs', 'gas_found', 'er_gs', 'st_rb', 'st_tele', 'on_vs', 'st_vsv']",295
7,pioneer3at_1,off_gs,controllable,(),"['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'st_exp', 'pos_fail', 'critic_fail', 'rst_f', 'on_gs', 'st_rb', 'st_tele', 'on_vs', 'st_vsv']",296
8,pioneer3at_1,st_rb,controllable,(),"['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'st_exp', 'pos_fail', 'critic_fail', 'rst_f', 'on_gs', 'er_rb', 'sus_rb', 'end_rb', 'st_tele', 'on_vs', 'st_vsv']",299
9,UAV_1,uav_st_app,controllable,"(16.0, 16.0, 3.0, 0.699999988079071)","['uav_er_app', 'uav_sus_app', 'uav_end_app', 'uav_st_assess', 'uav_bat_L', 'uav_call_tele', 'uav_rep_victim', 'uav_req_assist', 'uav_pos_fail', 'uav_critic_fail', 'uav_fail', 'uav_st_rb', 'uav_st_safe_land', 'uav_st_vsv', 'uav_st_tele', 'uav_on_vs', 'uav_st_v_search']",312
10,pioneer3at_1,end_rb,uncontrollable,(),"['st_app', 'bat_L', 'call_tele', 'rep_gas', 'rep_victim', 'req_assist', 'st_exp', 'pos_fail', 'critic_fail', 'rst_f', 'on_gs', 'st_rb', 'st_tele', 'on_vs', 'st_vsv']",339
