,total_cpu,total_mem,gazebo_cpu,gazebo_mem,UAV_1_sup_cpu,UAV_1_sup_mem,UAV_2_sup_cpu,UAV_2_sup_mem,pioneer3at_1_sup_cpu,pioneer3at_1_sup_mem,pioneer3at_2_sup_cpu,pioneer3at_2_sup_mem
0.0,97.8,15.3,0.0,1.9681171852059807,0.0,0.24505218640898194,0.0,0.24396960700908127,0.0,0.2451373331033562,0.0,0.24540493699996085
1.34,82.6,18.9,21.9875,6.0471790535239425,2.3875,0.24856752850528874,2.4125,0.24899326197715976,2.3375,0.24865267519966291,2.2625,0.2489567705367137
2.735,89.6,19.1,34.099999999999994,6.318492913240627,0.0875,0.24856752850528874,0.0875,0.24899326197715976,0.0375,0.24865267519966291,0.0875,0.2489567705367137
3.91,97.0,19.2,31.95,6.331836616630414,0.3625,0.24865267519966291,0.2375,0.24899326197715976,0.2375,0.24865267519966291,0.2375,0.2489567705367137
5.13,96.8,19.3,30.599999999999998,6.333503059077453,0.1625,0.24865267519966291,0.3375,0.24899326197715976,0.1625,0.24865267519966291,0.325,0.2489567705367137
6.3,97.6,19.6,28.8125,6.373436858738957,0.4125,0.24867700282662697,0.3,0.249090572485016,0.425,0.2487256580805551,0.325,0.2489567705367137
7.5600000000000005,96.6,19.7,27.5,6.367537409200173,0.15,0.24867700282662697,0.3125,0.249090572485016,0.425,0.2487256580805551,0.2875,0.2489567705367137
8.66,96.6,19.7,31.3625,6.369118704952837,0.3375,0.24867700282662697,0.3375,0.24911490011198006,0.1625,0.2487256580805551,0.3375,0.24907840867153397
9.85,96.6,19.8,28.9,6.387972615849984,0.425,0.24867700282662697,0.2875,0.24911490011198006,0.2875,0.2487256580805551,0.425,0.24907840867153397
11.01,96.2,19.8,30.025,6.387972615849984,0.425,0.24867700282662697,0.425,0.24911490011198006,0.425,0.2487256580805551,0.275,0.24907840867153397
12.245,96.6,19.8,30.825,6.3919623466720905,0.1625,0.24867700282662697,0.1625,0.24911490011198006,0.1625,0.2487256580805551,0.1625,0.24907840867153397
13.355,95.4,19.9,30.825,6.405537162518035,0.3,0.24867700282662697,0.3,0.24911490011198006,0.15,0.2487256580805551,0.3,0.24907840867153397
14.48,95.3,19.9,27.475,6.4146965140700045,0.2875,0.24867700282662697,0.2875,0.24911490011198006,0.2875,0.2487256580805551,0.2875,0.24907840867153397
15.545,96.7,19.9,31.275,6.414769496950896,0.2375,0.24867700282662697,0.2375,0.24911490011198006,0.2375,0.2487256580805551,0.2375,0.24907840867153397
16.695,96.7,19.9,33.1625,6.414769496950896,0.375,0.24867700282662697,0.25,0.24911490011198006,0.25,0.2487256580805551,0.25,0.24907840867153397
18.2,96.8,19.9,32.3625,6.414769496950896,0.225,0.24867700282662697,0.325,0.24911490011198006,0.325,0.2487256580805551,0.325,0.24907840867153397
19.42,96.9,20.0,29.387500000000003,6.439632331708166,0.3625,0.24867700282662697,0.125,0.24911490011198006,0.25,0.2487256580805551,0.25,0.24907840867153397
20.69,96.6,20.0,32.3375,6.421179826655927,0.2,0.24867700282662697,0.3,0.24911490011198006,0.2,0.2487256580805551,0.2,0.24907840867153397
21.995,97.1,20.0,34.45,6.421179826655927,0.3125,0.24867700282662697,0.3125,0.24911490011198006,0.475,0.2487256580805551,0.3125,0.24907840867153397
23.215,95.7,20.0,31.525,6.421179826655927,0.225,0.24867700282662697,0.225,0.24911490011198006,0.2375,0.2487256580805551,0.35,0.24907840867153397
24.43,96.6,20.0,29.6875,6.421179826655927,0.325,0.24867700282662697,0.325,0.24911490011198006,0.2125,0.2487256580805551,0.3125,0.24907840867153397
25.72,96.8,20.0,32.3,6.421179826655927,0.2375,0.24867700282662697,0.2375,0.24911490011198006,0.3625,0.2487256580805551,0.2375,0.24907840867153397
26.93,96.4,20.0,33.2625,6.421179826655927,0.375,0.24867700282662697,0.125,0.24911490011198006,0.2375,0.2487256580805551,0.2375,0.24907840867153397
28.25,96.9,20.0,32.275000000000006,6.421179826655927,0.25,0.24867700282662697,0.25,0.24911490011198006,0.25,0.2487256580805551,0.25,0.24907840867153397
29.48,95.9,20.1,32.6625,6.428478114745145,0.375,0.24867700282662697,0.3875,0.24911490011198006,0.25,0.2487256580805551,0.25,0.24907840867153397
30.52,97.7,20.1,28.7125,6.428478114745145,0.275,0.24867700282662697,1.375,0.24995420324224016,0.275,0.2487256580805551,0.275,0.24907840867153397
31.815,97.6,20.1,31.400000000000002,6.428478114745145,0.125,0.24867700282662697,2.8,0.2500880051905425,0.125,0.2487256580805551,0.25,0.24907840867153397
32.875,95.9,20.1,29.612499999999997,6.428478114745145,0.175,0.24867700282662697,2.1,0.25012449663098857,0.175,0.2487256580805551,0.175,0.24907840867153397
34.0,96.9,20.1,32.162499999999994,6.428490278558627,0.4375,0.24867700282662697,1.025,0.25016098807143466,0.2875,0.2487256580805551,0.2875,0.24907840867153397
35.19,96.6,20.1,30.275,6.428490278558627,0.15,0.24867700282662697,0.15,0.25016098807143466,0.1625,0.2487256580805551,0.1625,0.24907840867153397
36.61,97.1,20.1,31.7625,6.428502442372109,0.3125,0.24867700282662697,0.3125,0.25016098807143466,0.3125,0.2487256580805551,0.4125,0.24907840867153397
37.7,97.3,20.1,31.725,6.428502442372109,0.25,0.24867700282662697,0.25,0.25016098807143466,0.375,0.2487256580805551,0.25,0.24907840867153397
38.835,96.1,20.1,32.2875,6.428502442372109,0.2875,0.24867700282662697,0.2875,0.25016098807143466,0.2875,0.2487256580805551,0.2875,0.24907840867153397
40.435,96.5,20.1,31.599999999999998,6.428502442372109,0.3375,0.24867700282662697,0.225,0.25025829857929094,0.225,0.2487256580805551,0.225,0.24907840867153397
41.7,97.6,20.2,33.375,6.428502442372109,0.2625,0.24867700282662697,0.4,0.25025829857929094,0.2625,0.2487256580805551,0.2625,0.24907840867153397
42.905,96.7,20.2,32.4,6.428502442372109,0.3875,0.24867700282662697,0.2625,0.25025829857929094,0.2625,0.2487256580805551,0.3875,0.24907840867153397
44.515,95.9,20.2,33.3375,6.428502442372109,0.25,0.24867700282662697,0.25,0.25025829857929094,0.375,0.2487256580805551,0.25,0.24907840867153397
45.63,97.3,20.2,26.2625,6.428502442372109,0.275,0.24867700282662697,0.275,0.25025829857929094,0.1375,0.2487256580805551,0.1375,0.24907840867153397
46.765,97.3,20.2,31.6375,6.428502442372109,0.25,0.24867700282662697,0.25,0.25025829857929094,0.25,0.2487256580805551,0.3875,0.24907840867153397
47.985,97.1,20.2,34.2125,6.428502442372109,0.2125,0.24867700282662697,0.225,0.25025829857929094,0.325,0.2487256580805551,0.325,0.24907840867153397
49.105,96.4,20.2,31.625,6.428502442372109,0.425,0.24867700282662697,0.2875,0.25025829857929094,0.275,0.2487256580805551,0.1375,0.24907840867153397
50.32,97.5,20.2,32.724999999999994,6.428502442372109,0.225,0.24867700282662697,0.225,0.25025829857929094,0.3375,0.2487256580805551,0.3375,0.24907840867153397
51.445,97.1,20.2,30.162499999999998,6.428502442372109,0.2875,0.24867700282662697,0.4375,0.25025829857929094,0.1375,0.2487256580805551,0.2875,0.24907840867153397
52.705,98.0,20.2,27.6,6.428502442372109,1.7625,0.2494068316355488,0.275,0.25025829857929094,0.275,0.2487256580805551,0.275,0.24907840867153397
53.96,97.6,20.3,27.625,6.442138077285465,2.8,0.24966227171867142,0.25,0.25025829857929094,0.3875,0.2487256580805551,0.25,0.24907840867153397
55.12,98.6,20.3,27.025,6.428502442372109,2.425,0.24969876315911751,0.125,0.25025829857929094,0.25,0.2487256580805551,0.2625,0.24907840867153397
56.545,97.1,20.3,29.425,6.428526769999073,0.275,0.24969876315911751,0.275,0.25025829857929094,0.1375,0.2487256580805551,0.2625,0.24907840867153397
57.895,98.7,20.3,30.75,6.428526769999073,0.35,0.24969876315911751,0.325,0.25025829857929094,0.35,0.2487256580805551,0.175,0.24907840867153397
59.325,97.4,20.3,28.7125,6.428526769999073,0.3125,0.24969876315911751,0.1625,0.25025829857929094,0.15,0.2487256580805551,0.3,0.24907840867153397
60.765,97.4,20.3,29.2375,6.428526769999073,0.2625,0.24969876315911751,0.2625,0.25025829857929094,0.2625,0.2487256580805551,0.2625,0.24907840867153397
62.19,97.9,20.3,29.5,6.428526769999073,0.2375,0.24969876315911751,0.35,0.25025829857929094,0.2375,0.2487256580805551,0.2375,0.24907840867153397
63.3,97.3,20.3,31.475,6.428526769999073,0.2625,0.24969876315911751,0.2625,0.25025829857929094,0.4,0.2487256580805551,0.2625,0.24907840867153397
64.565,96.8,20.3,30.775,6.428526769999073,0.2625,0.24969876315911751,0.125,0.25025829857929094,0.2625,0.2487256580805551,0.2625,0.24907840867153397
65.845,97.7,20.3,31.575,6.428526769999073,0.2125,0.24969876315911751,0.425,0.25025829857929094,0.2125,0.2487256580805551,0.2125,0.24907840867153397
