,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.3,,UAV_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
7.425,,,0,4,0,None,0,"[3.003820712648026, 1.9904364557197487, 0.0]",100,None,0,"[2.9985335194247438, 3.978696367339376, 0.0]",100,None,0,"[0.9965410480784396, 1.9924933243181062, 0.6610332217450451]",100,None,0,"[0.9533325686967553, 3.85400128766643, 0.7103340783431177]",100
20.535,,,0,4,0,None,0,"[3.011112121680296, 1.9756023419676823, 0.0]",100.0,None,0,"[2.995279816556299, 3.960260370936416, 0.0]",100.0,None,0,"[0.994246820792651, 1.9883360061730926, 0.6609510278409756]",100.0,None,0,"[0.9583427818624383, 3.8474417825987923, 0.7101174827837782]",100.0
30.365,,,0,4,0,None,0,"[3.016373741587811, 1.9657462272458956, 0.0]",100.0,None,0,"[2.992613749817584, 3.945696329367532, 0.0]",100.0,None,0,"[0.994292877169146, 1.9864996248709335, 0.6610099417998859]",100.0,None,0,"[0.9618809550202359, 3.8426394955543013, 0.7099346910748855]",100.0
