,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.11,,0,4,0,None,0,[],100,None,0,[],100,None,0,"[1.00000000201981, 1.0, 0.6706169326115817]",100,None,0,[],100
5.54,,0,4,0,None,0,"[3.001504448316037, 1.0091653781047782, 0.0]",100,None,0,"[2.9995516398769397, 2.986884051351715, 0.0]",100,None,0,"[0.9966045822506704, 0.9984020978241106, 0.6572207640216511]",100,None,0,"[0.9759189017315942, 2.9820843429929567, 0.682286280328373]",100
15.98,,0,4,0,None,0,"[3.0107071096440046, 1.0286753570790592, 0.0]",100.0,None,0,"[2.9963437078433874, 2.9746249767859974, 0.0]",100.0,None,0,"[0.9961333034650928, 0.9982951872423668, 0.6571927127885401]",100.0,None,0,"[0.9760851642864233, 2.9816174806625035, 0.6821859865030956]",100.0
16.005,,0,4,0,None,0,"[3.0107509719318615, 1.0287654323940938, 0.0]",100.0,None,0,"[2.9963277467053997, 2.9745634952475952, 0.0]",100.0,None,0,"[0.9961333034650928, 0.9982951872423668, 0.6571927127885401]",100.0,None,0,"[0.9760851642864233, 2.9816174806625035, 0.6821859865030956]",100.0
18.355,uav_st_assess,1,4,0,None,0,"[3.011913545588143, 1.0315055287634671, 0.0]",100.0,None,0,"[2.9957122943456094, 2.9718677326357748, 0.0]",100.0,None,0,"[0.9960490787857383, 0.9983345974355436, 0.6572512916068258]",100.0,assessment,0,"[1.0101283517567012, 2.9959050061137082, 1.507980759860183]",100.0
29.9,,1,4,0,None,0,"[3.01732439628054, 1.0430465365410562, 0.0]",100.0,None,0,"[2.992743324742719, 2.958645221360121, 0.0]",100.0,None,0,"[0.9956769731172828, 0.9983126918301923, 0.6572479395077151]",100.0,assessment,0,"[0.9760450541114629, 2.9814976194904235, 1.513020718116713]",99.83999633789062
43.96,,1,4,0,None,0,"[3.0245622397162983, 1.0563279355538429, 0.0]",100.0,None,0,"[2.990456546596339, 2.9417893323782254, 0.0]",100.0,None,0,"[0.9955705941987923, 0.9985918940444144, 0.6572170434371732]",100.0,assessment,0,"[2.6272067816429425, 4.896947570140707, 3.420016954695896]",99.12799835205078
57.185,,1,4,0,None,0,"[3.032090495608133, 1.0683597850957423, 0.0]",100.0,None,0,"[2.9883130395220885, 2.9238888784982677, 0.0]",100.0,None,0,"[0.9957227219243305, 0.9983750607473182, 0.65724882905447]",100.0,assessment,0,"[2.917956745780065, 5.237408073285346, 3.8820714449668485]",98.35199737548828
71.9,,1,4,0,None,0,"[3.041178700612961, 1.0812736569218115, 0.0]",100.0,None,0,"[2.9808109059828873, 2.9087139505333446, 0.0]",100.0,None,0,"[0.9958372993912162, 0.9987242327233103, 0.6571866521353488]",100.0,assessment,0,"[5.354036445490088, 5.774553962405494, 3.185295887106734]",97.24800109863281
84.585,,1,4,0,None,0,"[3.0497349760518158, 1.09220393378901, 0.0]",100.0,None,0,"[2.969121331125907, 2.893799793866262, 0.0]",100.0,None,0,"[0.9958988680756429, 0.998644474211826, 0.6572492277152637]",100.0,assessment,0,"[6.657248697872074, 5.257728008939708, 3.1955833530475664]",96.99199676513672
98.525,,1,4,0,None,0,"[3.059889944596848, 1.104032522856138, 0.0]",100.0,None,0,"[2.9266190456720316, 2.8301749814521635, 0.0]",100.0,None,0,"[0.9959556731138315, 0.998442047167558, 0.6572534584692796]",100.0,assessment,0,"[7.651143815322948, 4.867090948904035, 3.210614624238043]",96.21600341796875
111.43,,1,4,0,None,0,"[3.071864060932847, 1.1176611523820636, 0.0]",100.0,None,0,"[2.9081498150972145, 2.788744089170914, 0.0]",100.0,None,0,"[0.995802590568686, 0.9985264412936611, 0.6572103322630521]",100.0,assessment,0,"[9.030944839451472, 5.264901663226256, 3.127937951967874]",95.09600067138672
125.54,,1,4,0,None,0,"[3.0909030976341763, 1.1386587521304121, 0.0]",100.0,None,0,"[2.9142004256153, 2.7718920788292136, 0.0]",100.0,None,0,"[0.9960195289971293, 0.9984930928434367, 0.6572242842654171]",100.0,assessment,0,"[10.045544129743192, 5.565233586086485, 3.09242365030376]",94.42400360107422
139.255,,1,4,0,None,0,"[3.11069376087923, 1.1605115251268383, 0.0]",100.0,None,0,"[2.923419262755758, 2.7532934329565024, 0.0]",100.0,None,0,"[0.9959706631681114, 0.9981357090798687, 0.6572573615011252]",100.0,assessment,0,"[10.045993497277683, 3.6290518383273795, 3.109649664801116]",94.1760025024414
152.9,,1,4,0,None,0,"[3.1233529913087943, 1.1750162925698777, 0.0]",100.0,None,0,"[2.930313980024385, 2.728143522465185, 0.0]",100.0,None,0,"[0.9959129792108784, 0.9982337952514134, 0.657218992041108]",100.0,assessment,0,"[10.04620306994185, 3.047103726996676, 3.1136391081592185]",92.86399841308594
165.98,,1,4,0,None,0,"[3.128547868872675, 1.183073259583899, 0.0]",100.0,None,0,"[2.9446917048027816, 2.7007890244220496, 0.0]",100.0,None,0,"[0.9961575527903003, 0.9981671559413224, 0.6571841728994591]",100.0,assessment,0,"[12.477332082214376, 3.154038993574658, 3.0785708172340502]",92.38400268554688
179.47,,1,4,0,None,0,"[3.13408240224447, 1.186482179914, 0.0]",100.0,None,0,"[2.9693146903603704, 2.6828565804703692, 0.0]",100.0,None,0,"[0.99580504671076, 0.9981766221741398, 0.6572193583991921]",100.0,assessment,0,"[15.01017297213706, 3.2549634892235093, 3.038779685003816]",91.60800170898438
192.89,,1,4,0,None,0,"[3.1366064160556704, 1.1868459003414351, 0.0]",100.0,None,0,"[2.986147647764417, 2.666729142596769, 0.0]",100.0,None,0,"[0.9959910796565394, 0.9982480342802829, 0.6571865456936459]",100.0,assessment,0,"[15.084142278423943, 4.548090923297013, 3.0654534682764827]",90.72799682617188
208.34,,1,4,0,None,0,"[3.132557805732789, 1.1794107929819941, 0.0]",100.0,None,0,"[3.0027555189717936, 2.6523881255782533, 0.0]",100.0,None,0,"[0.9958485845713404, 0.9981231451804796, 0.6572312057648942]",100.0,assessment,0,"[15.155773567149943, 5.633691442025752, 3.0962261059110374]",89.96800231933594
222.69,,1,4,0,None,0,"[3.1233724335898274, 1.1763182864771835, 0.0]",100.0,None,0,"[3.013199218880358, 2.6444348723659807, 0.0]",100.0,None,0,"[0.9967926333903019, 0.9974994583265568, 0.6572587134463724]",100.0,assessment,0,"[14.442189933109125, 7.880755681096426, 3.1294991716618634]",89.08799743652344
236.65,,1,4,0,None,0,"[3.124815978268888, 1.166896141135955, 0.0]",100.0,None,0,"[3.0256771281079167, 2.6352883637132827, 0.0]",100.0,None,0,"[0.9973933003582192, 0.9972029284735867, 0.6572269251727231]",100.0,assessment,0,"[13.782970655163345, 9.980413828148128, 3.1609084851678535]",88.30400085449219
249.705,,1,4,0,None,0,"[3.119481035207788, 1.1463692196623496, 0.0]",100.0,None,0,"[3.039118096405943, 2.620117047259109, 0.0]",100.0,None,0,"[0.9971018718724501, 0.996568215738154, 0.6571779012588345]",100.0,assessment,0,"[14.311075798835436, 10.573264653243248, 3.251822684960438]",87.75199890136719
264.265,,1,4,0,None,0,"[3.116446989053812, 1.1257542868338324, 0.0]",100.0,None,0,"[3.0533704375870814, 2.603236623013443, 0.0]",100.0,None,0,"[0.9967252419633477, 0.9960879486600153, 0.6572612365048714]",100.0,assessment,0,"[15.36265801640137, 11.582392343074616, 3.535750506054173]",86.63200378417969
279.505,,1,4,0,None,0,"[3.114501187888654, 1.1040850524942998, 0.0]",100.0,None,0,"[3.064061432060485, 2.5856560841594134, 0.0]",100.0,None,0,"[0.9973588779586073, 0.9959231715207303, 0.657266233922872]",100.0,assessment,0,"[15.36526285040375, 11.584828397514372, 3.5347373441682945]",86.50399780273438
293.925,,1,4,0,None,0,"[3.107688699246043, 1.1034671029680703, 0.0]",100.0,None,0,"[3.066107418500556, 2.5684587751796033, 0.0]",100.0,None,0,"[0.99659230624226, 0.9952042763411545, 0.6572006603277364]",100.0,assessment,0,"[12.479329887575416, 11.697324087129354, 3.6622629009305934]",85.83999633789062
308.505,,1,4,0,None,0,"[3.1015491406028275, 1.1048958041222612, 0.0]",100.0,None,0,"[3.0767977871536836, 2.543116952685909, 0.0]",100.0,None,0,"[0.9958949464298322, 0.9950649357666308, 0.6572303750249491]",100.0,assessment,0,"[9.974330225375414, 11.817923804041056, 3.7976572694746396]",85.06400299072266
321.46,,1,4,0,None,0,"[3.0941315069978077, 1.1077212700036976, 0.0]",100.0,None,0,"[3.088545642861395, 2.5326943325119373, 0.0]",100.0,None,0,"[0.9955433108307175, 0.9954231029873698, 0.6572528312474659]",100.0,assessment,0,"[9.975454850042391, 11.79441125899064, 3.794558079906638]",84.3280029296875
334.61,,1,4,0,None,0,"[3.0840381307891316, 1.1062594753259785, 0.0]",100.0,None,0,"[3.0952072817826797, 2.5271271821743673, 0.0]",100.0,None,0,"[0.9962317370664451, 0.9953050388033859, 0.6572322955062642]",100.0,assessment,0,"[9.127520821547837, 11.84904483451393, 3.779439626640567]",84.26399993896484
348.05,,1,4,0,None,0,"[3.0776241914666467, 1.0953765173941663, 0.0]",100.0,None,0,"[3.1093336239038076, 2.5150997548414487, 0.0]",100.0,None,0,"[0.9957930677434937, 0.9951372211012915, 0.6572554234164951]",100.0,assessment,0,"[5.160236795897026, 11.887085034061474, 3.7036711976332053]",83.49600219726562
361.325,,1,4,0,None,0,"[3.0725959916442447, 1.086161092210147, 0.0]",100.0,None,0,"[3.12051373567786, 2.503504058632133, 0.0]",100.0,None,0,"[0.9956059535628424, 0.995411657533676, 0.6572524278535185]",100.0,assessment,0,"[2.630406108136388, 11.924111301701602, 3.658202490038066]",81.9520034790039
