,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
1.08,,pioneer3at_1,0,2,0,None,0,[],100,None,0,[],100
21.995,,UAV_1,0,2,0,None,0,"[3.014290804851543, 1.0366495045673956, 0.0]",100.0,None,0,"[0.9982644706763009, 0.9992502135699229, 0.6572259194724986]",100.0
48.235,,,0,2,0,None,0,"[3.027808780382024, 1.0616017933271507, 0.0]",100.0,None,0,"[0.9974461111848427, 0.9986418905327514, 0.6571970917574574]",100.0
66.895,,,0,2,0,None,0,"[3.0389649040058235, 1.078227585585411, 0.0]",100.0,None,0,"[0.9975078579207475, 0.9982965068338943, 0.6572204598129299]",100.0
78.605,,,1,2,0,None,0,"[3.046644599067859, 1.0883513774805438, 0.0]",100.0,None,0,"[0.9974057576691086, 0.9980130573901281, 0.6572296788336475]",100.0
82.925,on_gs,pioneer3at_1,1,2,0,None,0,"[3.0496409647401244, 1.092048195725493, 0.0]",99.98999786376953,None,0,"[0.9973747319644063, 0.9978677712106366, 0.6571973389088455]",100.0
83.74,on_vs,pioneer3at_1,1,2,0,None,0,"[3.0502014456581343, 1.0927322136338204, 0.0]",99.98999786376953,None,0,"[0.9974853154464919, 0.9978553185535369, 0.65726108075167]",100.0
89.02,st_exp,pioneer3at_1,1,2,0,exploration,0,"[3.167818469702424, 1.079897139979398, 0.0]",99.98999786376953,None,0,"[0.9973417325485485, 0.997919692425575, 0.6571945176323473]",100.0
97.585,,,0,2,0,exploration,0,"[6.131953521561745, 2.0283680491114584, 0.0]",99.42870330810547,None,0,"[0.9971967727623594, 0.9978533345173025, 0.6572589956302107]",100.0
97.63,er_gs,pioneer3at_1,0,2,0,exploration,0,"[6.147443334903804, 2.042358623586305, 0.0]",99.42870330810547,None,0,"[0.9971786505510377, 0.9978347406369534, 0.6572593573630533]",100.0
97.85,,,0,2,0,exploration,0,"[6.207674176836685, 2.097039290284711, 0.0]",99.42870330810547,None,0,"[0.9971980820011904, 0.9977795681269862, 0.6572888401535861]",100.0
99.7,sus_exp,pioneer3at_1,0,2,0,None,0,"[6.237132338299809, 2.125436476021581, 0.0]",99.42870330810547,None,0,"[0.9973839114996974, 0.9977745493670207, 0.6571768477748052]",100.0
100.225,abort_exp,pioneer3at_1,0,2,0,None,0,"[6.236282019833296, 2.124580439644411, 0.0]",99.42870330810547,None,0,"[0.9973156918267508, 0.9978064872748358, 0.6572543051494294]",100.0
101.545,off_vs,pioneer3at_1,0,2,0,None,0,"[6.234097387782995, 2.1222246701309047, 0.0]",98.81780242919922,None,0,"[0.9973778798137888, 0.9977639938349826, 0.6572602541787382]",100.0
116.455,,,0,2,0,None,0,"[6.216252723036304, 2.111394223418283, 0.0]",98.7677993774414,None,0,"[0.9972966546732053, 0.9975455514505301, 0.6572288312500533]",100.0
120.505,rst_gs,pioneer3at_1,0,2,0,None,0,"[6.214737995825347, 2.107669570408862, 0.0]",98.7677993774414,None,0,"[0.9971669261765171, 0.9975512750461933, 0.6571970280144762]",100.0
120.66,,,1,2,0,None,0,"[6.214735434639538, 2.107577494143109, 0.0]",98.7208023071289,None,0,"[0.9972599595230994, 0.9975480335936316, 0.6572605910075546]",100.0
121.6,on_gs,pioneer3at_1,1,2,0,None,0,"[6.213805727777747, 2.1068427974109842, 0.0]",98.7208023071289,None,0,"[0.9973919125247159, 0.9975508069444419, 0.6571973447007412]",100.0
123.0,on_vs,pioneer3at_1,1,2,0,None,0,"[6.212997480845636, 2.105853739436935, 0.0]",98.7208023071289,None,0,"[0.9973626904459234, 0.9976590158451334, 0.6572607180922339]",100.0
127.28,st_exp,pioneer3at_1,1,2,0,exploration,0,"[7.317169314953351, 3.07230500148016, 0.0]",98.7208023071289,None,0,"[0.9973564259316662, 0.997613109340391, 0.6572550183717977]",100.0
139.14,,,1,2,0,exploration,0,"[10.616514706128589, 6.581826997254316, 0.0]",98.09629821777344,None,0,"[0.9973007403854216, 0.9978332465478774, 0.6572789447325667]",100.0
141.97,,,0,2,0,exploration,0,"[11.44794315870953, 7.378470466970854, 0.0]",97.3062973022461,None,0,"[0.9972542021591556, 0.9977500879755123, 0.6571962925923026]",100.0
142.125,er_vs,pioneer3at_1,0,2,0,exploration,0,"[11.482509575676469, 7.4105443305807235, 0.0]",97.3062973022461,None,0,"[0.9971144429011178, 0.997852714535027, 0.6571920489145427]",100.0
156.78,,,0,2,0,exploration,0,"[12.015276777972225, 7.942438702018952, 0.0]",96.78929901123047,None,0,"[0.9972907333964216, 0.9979335314988765, 0.6572055690402053]",100.0
172.15,,,0,2,0,exploration,0,"[11.952734884257532, 7.914603563734236, 0.0]",95.87879943847656,None,0,"[0.997057656746209, 0.9982077314053954, 0.6572572399874473]",100.0
185.525,,,0,2,0,exploration,0,"[11.715316846103988, 8.452612420294797, 0.0]",95.08879852294922,None,0,"[0.9967393712021145, 0.9981362171527256, 0.6572551384428625]",100.0
197.8,,,0,2,0,exploration,0,"[9.575671918882177, 8.28915828841929, 0.0]",94.29879760742188,None,0,"[0.9965158070319325, 0.9976139826070849, 0.6572570104797154]",100.0
210.845,,,0,2,0,exploration,0,"[9.627907873827413, 8.249995140226702, 0.0]",93.60279846191406,None,0,"[0.9961501384211804, 0.9974360263431931, 0.6572550265590321]",100.0
223.62,,,0,2,0,exploration,0,"[7.479702993832934, 9.004772531163193, 0.0]",92.81279754638672,None,0,"[0.9957576999885422, 0.9978078798726682, 0.6572613849416815]",100.0
239.06,,,0,2,0,exploration,0,"[7.504181807021803, 8.876703873673145, 0.0]",92.2437973022461,None,0,"[0.995758704032473, 0.9979252515703939, 0.6572493290557524]",100.0
252.59,,,0,2,0,exploration,0,"[5.42918065514359, 7.162558876946283, 0.0]",91.35929870605469,None,0,"[0.9953354907740741, 0.9987591151796535, 0.6570492382740132]",100.0
255.085,,,0,2,0,exploration,0,"[5.231024987005734, 7.231896946185719, 0.0]",91.35929870605469,None,0,"[0.9952742425923544, 0.9987256854020251, 0.6571801639112799]",100.0
