,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
0.64,,pioneer3at_1,0,2,0,None,0,[],100,None,0,"[0.9989861376377466, 0.999349541750962, 0.6572067792155698]",100
20.955,,UAV_1,0,2,0,None,0,"[3.01339791819423, 1.0347303309214988, 0.0]",100.0,None,0,"[0.9981358370789644, 0.9992963591030428, 0.6572030510415887]",100.0
36.505,,,0,2,0,None,0,"[3.0210329830082268, 1.0499295333667038, 0.0]",100.0,None,0,"[0.9977501865186262, 0.9988865978190813, 0.6572616909105339]",100.0
51.855,,,0,2,0,None,0,"[3.029365568678953, 1.064060814188314, 0.0]",100.0,None,0,"[0.9975025517486975, 0.9985943373723242, 0.6572278055690555]",100.0
58.325,,,1,2,0,None,0,"[3.0331916538137516, 1.0699551725618084, 0.0]",100.0,None,0,"[0.9974871623677736, 0.99850348161627, 0.6572002624881362]",100.0
61.475,on_vs,pioneer3at_1,1,2,0,None,0,"[3.0350844926007885, 1.0727119085531376, 0.0]",99.98380279541016,None,0,"[0.9975108145858667, 0.9983392871775472, 0.6572606986862601]",100.0
65.465,st_app,pioneer3at_1,1,2,0,approach,0,"[4.084905529265339, 1.1569651665457794, 0.0]",99.98380279541016,None,0,"[0.9975351046193021, 0.9982795916124694, 0.6572775059372316]",100.0
77.81,,,1,2,0,approach,0,"[8.16127900509609, 3.9213055885074217, 0.0]",99.32830047607422,None,0,"[0.9974664531160637, 0.9979807219509346, 0.6572609401448696]",100.0
85.18,,,1,1,0,approach,0,"[9.754116246470861, 6.436717001057527, 0.0]",98.58830261230469,None,0,"[0.9973457088867655, 0.9978055018654354, 0.6571995189228975]",100.0
85.22,uav_fail,UAV_1,1,1,0,approach,0,"[9.754116246470861, 6.436717001057527, 0.0]",98.58830261230469,None,0,"[0.9974656033257443, 0.9977047403218763, 0.6571988559097217]",100.0
88.025,uav_st_rb,UAV_1,1,1,0,approach,0,"[10.284323776487604, 7.472434475190715, 0.0]",98.58830261230469,return to base,0,"[0.9973887898542699, 0.9978696478232048, 0.657259837857879]",100.0
100.06,,,1,1,0,approach,0,"[12.875883708905906, 11.507929460298184, 0.0]",97.84829711914062,return to base,0,"[0.9972904940562105, 0.9977927249683137, 0.6572186542003512]",99.63200378417969
110.79,,,1,1,0,approach,0,"[15.253937731518672, 14.878880755933451, 0.0]",96.36830139160156,return to base,0,"[0.9973669909832305, 0.9974821000376966, 0.657260704549651]",98.03199768066406
115.875,,,0,1,0,approach,1,"[15.754900206112417, 15.662496829244054, 0.0]",96.36830139160156,return to base,0,"[0.9973157895384843, 0.9975515920206312, 0.6572215001659886]",98.03199768066406
