,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
1.425,,UAV_1,0,2,0,None,0,"[3.000907095190053, 1.0035590816441102, 0.0]",100,None,0,"[0.999024602186953, 0.999374931104046, 0.6571898685453389]",100
29.125,,pioneer3at_1,0,2,0,None,0,"[3.0177234512937314, 1.0436692265215237, 0.0]",100.0,None,0,"[0.9979424032937115, 0.9990377201893791, 0.6572602296427759]",100.0
43.36,,,0,2,0,None,0,"[3.0251216518798163, 1.0571295382757109, 0.0]",100.0,None,0,"[0.9975230829006053, 0.9988861864674926, 0.657227216198933]",100.0
57.595,,,0,2,0,None,0,"[3.0332512643054232, 1.0700439832930302, 0.0]",100.0,None,0,"[0.9975768232552837, 0.9984673624386466, 0.657260358622529]",100.0
71.075,,,1,2,0,None,0,"[3.0416206909985934, 1.0818059708940917, 0.0]",100.0,None,0,"[0.9976929940034287, 0.9981538272018537, 0.6571936626503536]",100.0
72.855,on_gs,pioneer3at_1,1,2,0,None,0,"[3.0427674600527905, 1.0833532092176474, 0.0]",100.0,None,0,"[0.9975982836352102, 0.9980872840737519, 0.6572622227778792]",100.0
73.505,on_vs,pioneer3at_1,1,2,0,None,0,"[3.0432280159390475, 1.0839584042019597, 0.0]",100.0,None,0,"[0.9975007628448268, 0.9981410749836864, 0.6571976619230608]",100.0
77.44,st_app,pioneer3at_1,1,2,0,approach,0,"[4.321827953328893, 1.0316290526771084, 0.0]",100.0,None,0,"[0.9974115481613607, 0.9980874287824381, 0.6571994622641273]",100.0
89.695,,,1,2,0,approach,0,"[9.186369381988326, 2.1737387749519588, 0.0]",98.78829956054688,None,0,"[0.9973795522282947, 0.9978899843080943, 0.6572600867475031]",100.0
102.22,,,1,2,0,approach,0,"[14.22460400662095, 2.911615566539258, 0.0]",97.99829864501953,None,0,"[0.9973334566337965, 0.9977306594853489, 0.6572028463620263]",100.0
112.78,,,1,2,0,approach,0,"[18.49755179539915, 3.6563552252496607, 0.0]",97.20829772949219,None,0,"[0.9973803634953244, 0.9974652316751402, 0.6572595045195071]",100.0
122.88,,,1,2,0,approach,0,"[22.570944948119966, 4.306576731388517, 0.0]",96.41829681396484,None,0,"[0.9972763337938696, 0.997679654532674, 0.6572270469704783]",100.0
132.745,,,1,2,0,approach,0,"[26.572061336020784, 4.948179420887854, 0.0]",95.62830352783203,None,0,"[0.9972445147524929, 0.9977141537245944, 0.6572598756841109]",100.0
142.6,,,1,2,0,approach,0,"[30.564258636285796, 5.510259923928655, 0.0]",94.83830261230469,None,0,"[0.9972282380069879, 0.997731576055468, 0.6571856033977354]",100.0
