,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
898.93,uav_on_vs,UAV_1,3,3,2,exploration,1,"[54.252527096364766, 8.22370439577325, 0.0]",78.3478012084961,None,4,"[3.990787523237669, 3.7738995961641524, 0.0]",63.30540084838867,None,4,"[16.01709880526508, 33.99800775214507, 10.333689338351705]",81.15959930419922,assessment,0,"[30.765148599810903, 5.425467832911049, 4.524870266588813]",69.4000015258789
903.535,uav_st_app,UAV_1,3,3,2,exploration,1,"[54.48034741050934, 9.712305270729638, 0.0]",78.3478012084961,None,4,"[3.985090072122276, 3.767740768152001, 0.0]",63.30540084838867,approach,4,"[16.025953887231324, 33.94970231755588, 10.282332537846505]",81.15959930419922,assessment,0,"[31.21635650166881, 4.593460898698834, 4.514825179920009]",69.4000015258789
917.34,,,3,3,2,exploration,1,"[55.309438540302374, 10.094223556673423, 0.0]",76.7677993774414,None,4,"[3.9684085051573486, 3.7450853266022675, 0.0]",63.30540084838867,approach,4,"[16.012015741949323, 29.698743653189172, 9.772360246007223]",79.82610321044922,assessment,0,"[32.022490579385035, 3.197117668441196, 4.494729135170195]",68.31999969482422
931.145,,,3,3,2,exploration,1,"[55.9490016660897, 11.850816777305038, 0.0]",76.10130310058594,None,4,"[3.959601739941219, 3.7181361588643367, 0.0]",63.30540084838867,approach,4,"[16.007532883833992, 24.806660124693273, 9.065969905859776]",78.99210357666016,assessment,0,"[32.02516246420568, 3.184594404306865, 4.494429216382413]",68.31999969482422
942.015,,,2,3,2,exploration,1,"[53.37610254095599, 12.423152462190757, 0.0]",75.48680114746094,None,4,"[3.950874049169705, 3.696069799069859, 0.0]",63.30540084838867,approach,4,"[16.00454112270362, 21.232579366937703, 8.646313785755789]",78.16609954833984,assessment,0,"[32.02517014099782, 3.184558679902181, 4.494411075773552]",68.31999969482422
942.87,uav_sus_app,UAV_1,3,3,2,exploration,1,"[53.309746466990255, 12.349682363916209, 0.0]",75.48680114746094,None,4,"[3.9502669562924444, 3.694002687796955, 0.0]",63.30540084838867,None,4,"[16.004608956791305, 21.277566112761477, 8.646709354604836]",78.16609954833984,assessment,0,"[32.025170161649925, 3.1845585839365373, 4.494410736746938]",68.31999969482422
943.15,uav_abort_app,UAV_1,3,3,2,exploration,1,"[53.30581367353756, 12.344999025332198, 0.0]",75.48680114746094,None,4,"[3.950065746233637, 3.6933096408341193, 0.0]",63.30540084838867,None,4,"[16.004618916333662, 21.3059471771684, 8.646594974878125]",78.16609954833984,assessment,0,"[32.02517017068395, 3.1845585419896674, 4.4944105665323875]",68.31999969482422
948.18,uav_st_v_search,UAV_1,3,3,2,exploration,1,"[53.32798504073531, 12.280581307075591, 0.0]",74.6968002319336,None,4,"[3.945831802294627, 3.6811543662198947, 0.0]",63.30540084838867,victim search,4,"[16.013607209523972, 21.31072397153683, 8.64730592516262]",77.51609802246094,assessment,0,"[32.0251702099077, 3.1845583594394014, 4.494409365931863]",68.31999969482422
962.3,,,3,3,2,exploration,1,"[51.83675137363067, 14.008137925621229, 0.0]",74.06279754638672,None,4,"[3.936591199289853, 3.6511027024959644, 0.0]",63.30540084838867,victim search,4,"[12.619161187861552, 20.5697827156537, 7.3040413213676025]",76.78610229492188,assessment,0,"[32.185655562904024, 6.320936976715363, 4.524918297282728]",68.0
975.215,,,3,3,2,exploration,1,"[51.355768753197424, 13.821251024238915, 0.0]",73.27279663085938,None,4,"[3.924702630329694, 3.623203858764862, 0.0]",63.30540084838867,victim search,4,"[10.026275667664255, 20.01502774395482, 6.579397949035781]",75.96009826660156,assessment,0,"[32.402261242495385, 10.580055255708405, 4.56422136687909]",67.27200317382812
980.065,,,3,3,2,exploration,1,"[51.36025520176208, 13.795789703958057, 0.0]",72.64530181884766,None,4,"[3.9193902831162295, 3.6124628263631005, 0.0]",63.30540084838867,victim search,4,"[10.072426925608028, 20.027404238151277, 6.274434398589433]",75.25409698486328,assessment,0,"[32.50232486953752, 12.5432847232353, 4.58199423011709]",66.52799987792969
