,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.115,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
6.49,,UAV_2,0,4,0,None,0,"[3.0045225636123245, 1.9898850352461972, 0.0]",100,None,0,"[2.9983479750761974, 3.9813692927647053, 0.0]",100,None,0,"[0.9955934801806766, 1.991883178535929, 0.6610971933162724]",100,None,0,"[0.9616238538491213, 3.8770604435041767, 0.7144863459147082]",100
19.37,,,0,4,0,None,0,"[3.011383111999002, 1.97515983240036, 0.0]",100.0,None,0,"[2.9958127428185124, 3.9636973882656648, 0.0]",100.0,None,0,"[0.9938600764851265, 1.9878889780615001, 0.661014066942142]",100.0,None,0,"[0.9218272263703071, 3.8032031037052407, 0.7068464492096748]",100.0
25.715,,,0,4,0,None,0,"[3.0142882683089653, 1.968281695609986, 0.0]",100.0,None,0,"[2.9942623174367045, 3.9546933516793965, 0.0]",100.0,None,0,"[0.9937227103001685, 1.986684964666353, 0.6609891910541493]",100.0,None,0,"[0.9230308336824697, 3.801593128500117, 0.7067745601245786]",100.0
