,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.145,,UAV_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
6.63,,pioneer3at_1,0,4,0,None,0,"[3.003594980220075, 1.0143682835247956, 0.0]",100,None,0,"[2.999108348456779, 2.9854280905781057, 0.0]",100,None,0,"[0.9961061726801145, 0.9984294352551111, 0.65722028729938]",100,None,0,"[0.979917316994403, 2.9795527553480334, 0.6823066868912214]",100
19.78,,,0,4,0,None,0,"[3.0132067891002867, 1.0344669025255513, 0.0]",100.0,None,0,"[2.995499933855378, 2.969994935528359, 0.0]",100.0,None,0,"[0.9947045136573601, 0.9981823029820823, 0.6572432892970856]",100.0,None,0,"[0.9819609099432546, 2.978718771149485, 0.6823344581841071]",100.0
33.54,,,0,4,0,None,0,"[3.0198835748399397, 1.0479371147303358, 0.0]",100.0,None,0,"[2.9920575013881527, 2.9540914581346045, 0.0]",100.0,None,0,"[0.9943983214481209, 0.9983404005362904, 0.6572622981398292]",100.0,None,0,"[0.9838336414358473, 2.9785164121993573, 0.6822876698371105]",100.0
45.34,,,0,4,0,None,0,"[3.0261516110531828, 1.0589964303244503, 0.0]",100.0,None,0,"[2.9901541432065537, 2.9397514721475138, 0.0]",100.0,None,0,"[0.9942111370262814, 0.998484454530157, 0.6571704152952496]",100.0,None,0,"[0.9852819089369479, 2.978431711908561, 0.6823209461663298]",100.0
57.975,,,0,4,0,None,0,"[3.0334568987699835, 1.0704043444158906, 0.0]",100.0,None,0,"[2.9877209699648217, 2.9228780079821597, 0.0]",100.0,None,0,"[0.994045066338943, 0.9986546313880528, 0.6572464078618151]",100.0,None,0,"[0.9865212849105157, 2.9784710527087213, 0.6823522219037674]",100.0
69.915,,,0,4,0,None,0,"[3.0407933192067866, 1.0807809627981309, 0.0]",100.0,None,0,"[2.981577020353868, 2.9104839380589853, 0.0]",100.0,None,0,"[0.9940337088076636, 0.998612984579128, 0.6571913782269969]",100.0,None,0,"[0.9877673689802003, 2.978592868986868, 0.6823922371454415]",100.0
81.655,,,0,4,0,None,0,"[3.0486925814839214, 1.0909486475936991, 0.0]",100.0,None,0,"[2.973674757620973, 2.8996042860482705, 0.0]",100.0,None,0,"[0.9940789917214683, 0.9986421590790895, 0.6571886642128694]",100.0,None,0,"[0.9882904238756356, 2.978744844531314, 0.6824024500218574]",100.0
93.2,,,0,4,0,None,0,"[3.0570285981824967, 1.1008078399881196, 0.0]",100.0,None,0,"[2.94342652855635, 2.8564663861884694, 0.0]",100.0,None,0,"[0.9939792002490976, 0.9987172117698399, 0.6572324821317661]",100.0,None,0,"[0.9891505722686337, 2.979089990455716, 0.6824390719439968]",100.0
105.14,,,0,4,0,None,0,"[3.065962163413335, 1.110875680285834, 0.0]",100.0,None,0,"[2.907324182340226, 2.7999845171382938, 0.0]",100.0,None,0,"[0.9938727692616997, 0.9987337154008934, 0.6572315243502314]",100.0,None,0,"[0.9898943369387286, 2.978936367340456, 0.6824463327571558]",100.0
117.51,,,0,4,0,None,0,"[3.081845677273658, 1.1290139280453986, 0.0]",100.0,None,0,"[2.9096759102322873, 2.780630984999478, 0.0]",100.0,None,0,"[0.9940060993265901, 0.998664515724718, 0.6571639186429348]",100.0,None,0,"[0.9905467878342538, 2.9794946437092062, 0.6824835471042875]",100.0
129.86,,,0,4,0,None,0,"[3.0991637545480444, 1.1478216057789428, 0.0]",100.0,None,0,"[2.9167894917863113, 2.765702129421151, 0.0]",100.0,None,0,"[0.9938947257469528, 0.9986984395234381, 0.6572320963261626]",100.0,None,0,"[0.9911548174734908, 2.979472557996887, 0.6824908437151642]",100.0
141.82,,,0,4,0,None,0,"[3.116552409802018, 1.1670056175008114, 0.0]",100.0,None,0,"[2.925558996476531, 2.7486167270456776, 0.0]",100.0,None,0,"[0.9938585276515294, 0.9987352280185586, 0.6571905549429788]",100.0,None,0,"[0.991852159641598, 2.9799348342942777, 0.6825266886750311]",100.0
153.19,,,0,4,0,None,0,"[3.124431289281725, 1.1763894697105586, 0.0]",100.0,None,0,"[2.9306407066707867, 2.727476766776824, 0.0]",100.0,None,0,"[0.9933985728260831, 0.9986679672303862, 0.6572391813054186]",100.0,None,0,"[0.992452378748022, 2.980139794601763, 0.6825465676698043]",100.0
166.58,,,0,4,0,None,0,"[3.129167393240445, 1.1836207448639338, 0.0]",100.0,None,0,"[2.9469252680104403, 2.6999223876236633, 0.0]",100.0,None,0,"[0.9932644927449075, 0.9982499269664807, 0.6571544093074192]",100.0,None,0,"[0.9930024149589604, 2.9805581889987924, 0.6825709540767909]",100.0
177.565,,,0,4,0,None,0,"[3.133844638436164, 1.1863003777543313, 0.0]",100.0,None,0,"[2.9672881693677, 2.6846891337774808, 0.0]",100.0,None,0,"[0.9931334349550138, 0.9983250954426266, 0.657191073875911]",100.0,None,0,"[0.9936343880641408, 2.9807107567492137, 0.6825901896795546]",100.0
189.6,,,0,4,0,None,0,"[3.137353031462956, 1.1878146769231652, 0.0]",100.0,None,0,"[2.982601422245528, 2.669949136799049, 0.0]",100.0,None,0,"[0.9924285506912879, 0.998442497074603, 0.6572203513274965]",100.0,None,0,"[0.9940015244755825, 2.9809070731974203, 0.6825974626511672]",100.0
195.59,,,0,4,0,None,0,"[3.1351386473517477, 1.1842214520910603, 0.0]",100.0,None,0,"[2.9897204095221475, 2.6633034480858795, 0.0]",100.0,None,0,"[0.9925245908405534, 0.9983877041861866, 0.6571540619562384]",100.0,None,0,"[0.9942925976975099, 2.981055319958048, 0.6826083962848343]",100.0
