,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
550.42,on_vs,pioneer3at_1,4,4,0,None,2,"[32.34807231055972, 15.850305043196087, 0.0]",90.81179809570312,approach,2,"[56.278183209588434, 30.63430359311047, 0.0]",79.80259704589844,assessment,0,"[44.46251926058603, 9.168648493142628, 8.690473041656933]",67.45600128173828,assessment,1,"[12.6359672344419, 15.01478185392902, 5.351404904000033]",71.72000122070312
553.995,st_app,pioneer3at_1,4,4,0,approach,2,"[32.340198561651356, 15.85597400875428, 0.0]",90.25830078125,approach,2,"[56.17844279766338, 30.61763409587396, 0.0]",79.01260375976562,assessment,0,"[44.50461022860186, 9.154054397258841, 8.604283145525942]",66.65599822998047,assessment,1,"[12.63598734967268, 15.015662317842551, 5.351341067004543]",71.72000122070312
566.6,,,4,4,0,approach,2,"[29.61380148713988, 18.294409448635445, 0.0]",89.51830291748047,approach,2,"[56.54132432373518, 31.152731256918987, 0.0]",78.22260284423828,assessment,0,"[44.53507302628835, 9.180181021778015, 8.60361148218369]",65.85600280761719,assessment,1,"[12.641009944302779, 15.013776064646372, 5.351285840551136]",71.72000122070312
570.125,end_app,pioneer3at_2,4,4,0,approach,2,"[28.894319140845855, 18.80700926420885, 0.0]",89.51830291748047,None,2,"[56.33184116626398, 31.14433793606512, 0.0]",78.22260284423828,assessment,0,"[44.53915494543744, 9.181678536496364, 8.605068871673005]",65.85600280761719,assessment,1,"[13.085385961852424, 15.444105127001565, 5.509413177166254]",71.72000122070312
570.405,,,4,4,0,approach,2,"[28.845674021994935, 18.851747919567792, 0.0]",89.51830291748047,None,3,"[56.33415595982391, 31.13684079837204, 0.0]",78.22260284423828,assessment,0,"[44.539669259592735, 9.181729505261334, 8.605252531933568]",65.85600280761719,assessment,1,"[13.24854361706389, 15.595175846063793, 5.517006212668941]",71.35199737548828
571.08,off_vs,pioneer3at_2,4,4,0,approach,2,"[28.771285946169783, 18.937291461059804, 0.0]",88.7782974243164,None,3,"[56.33891358821626, 31.116718929024543, 0.0]",77.5615005493164,assessment,0,"[44.540993009641824, 9.182171519851735, 8.605879775119849]",65.05599975585938,assessment,1,"[13.499509903608537, 15.794257324171278, 5.515140546900467]",71.35199737548828
571.935,on_vs,pioneer3at_2,4,4,0,approach,2,"[28.766898922375102, 19.017806896932434, 0.0]",88.7782974243164,None,3,"[56.33512291236575, 31.098684946580466, 0.0]",77.5615005493164,assessment,0,"[44.54263487466493, 9.185589482584087, 8.603113672429073]",65.05599975585938,assessment,1,"[13.53976455581237, 15.811610485396578, 5.514459602589069]",71.35199737548828
574.825,st_app,pioneer3at_2,4,4,0,approach,2,"[29.12392780490945, 19.195826611535217, 0.0]",88.7782974243164,approach,3,"[55.388746580147185, 30.961025651981544, 0.0]",77.5615005493164,assessment,0,"[44.54772390585326, 9.190051206416262, 8.604088181625663]",65.05599975585938,assessment,1,"[14.097697366953154, 16.31520052081814, 5.681719979540377]",71.35199737548828
585.11,,,4,4,0,approach,2,"[29.554823646087012, 22.90807420559872, 0.0]",88.03829956054688,approach,3,"[51.85220689590708, 28.85112685069337, 0.0]",76.85220336914062,assessment,0,"[44.57013864664401, 9.20213702978486, 8.606183472845819]",64.30400085449219,assessment,1,"[15.08161412126446, 17.183172694405453, 5.8426260188510755]",70.60800170898438
585.505,,,3,4,0,approach,2,"[29.54789014903389, 23.047046942448812, 0.0]",88.03829956054688,approach,3,"[51.64054753569629, 28.744133457115428, 0.0]",76.85220336914062,assessment,0,"[44.57088291946982, 9.203631336822875, 8.605279493164677]",64.30400085449219,assessment,1,"[15.081868718528398, 17.18339221622558, 5.842594454454787]",70.60800170898438
