,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.25,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
1.13,,UAV_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
7.52,,,0,4,0,None,0,"[3.0030440006273595, 1.0130693303439686, 0.0]",100,None,0,"[2.998622754435418, 2.9834824865235814, 0.0]",100,None,0,"[0.9970826657463052, 0.998711116251352, 0.6572570055371724]",100,None,0,"[0.9632349580276308, 2.953953785529799, 0.6812290126719909]",100
20.715,,,0,4,0,None,0,"[3.0128856331319254, 1.0337555369372822, 0.0]",100.0,None,0,"[2.995081995858113, 2.968172634710817, 0.0]",100.0,None,0,"[0.99642077627435, 0.9983657482484437, 0.6572135127849066]",100.0,None,0,"[0.9652532394941785, 2.952972466947337, 0.681253837765811]",100.0
34.18,,,0,4,0,None,0,"[3.01942654993653, 1.0470760475212388, 0.0]",100.0,None,0,"[2.9917772894657526, 2.952556703559301, 0.0]",100.0,None,0,"[0.995914708161015, 0.9979268876280888, 0.6572420109462458]",100.0,None,0,"[0.9671295707668922, 2.952422251583908, 0.6812852289402226]",100.0
35.27,,,0,4,0,None,0,"[3.0199855238834132, 1.0481280645489572, 0.0]",100.0,None,0,"[2.9916114330610246, 2.9512111463277266, 0.0]",100.0,None,0,"[0.9958984222722126, 0.9981060438374114, 0.6572478943957221]",100.0,None,0,"[0.9674282742075122, 2.9522075543086905, 0.6812862905169881]",100.0
38.23,uav_st_assess,UAV_2,1,4,0,None,0,"[3.021479853522267, 1.0508807419027688, 0.0]",100.0,None,0,"[2.9911185286305, 2.9476692155847677, 0.0]",100.0,None,0,"[0.9958451759637234, 0.9981871503619386, 0.6572501347968797]",100.0,assessment,0,"[1.0014747028309683, 2.968784463891543, 1.5336185152712847]",100.0
52.265,,,1,4,0,None,0,"[3.0291299934403324, 1.063814933005424, 0.0]",100.0,None,0,"[2.9896520219238822, 2.929184477132205, 0.0]",100.0,None,0,"[0.9959565841911661, 0.9982623629380649, 0.6572482325892132]",100.0,assessment,0,"[0.9665414780932002, 2.952459045050295, 4.51058526173537]",99.08000183105469
66.35,,,2,4,0,None,0,"[3.037555720319273, 1.0763346641494962, 0.0]",100.0,None,0,"[2.9829666782270183, 2.9134659120043587, 0.0]",100.0,None,0,"[0.995935151472583, 0.9982348469876045, 0.6572481807096109]",100.0,assessment,0,"[5.323632695962797, 3.507606617012149, 4.512058689534891]",98.42400360107422
69.74,uav_st_assess,UAV_1,2,4,0,None,0,"[3.0397025035954943, 1.0793027484606048, 0.0]",100.0,None,0,"[2.9813506431007655, 2.90996510993872, 0.0]",100.0,assessment,0,"[1.0122215053099564, 1.0041982959616351, 1.4946652254003132]",100.0,assessment,0,"[6.503447943644073, 3.6579019137938884, 4.512077832113657]",98.42400360107422
85.4,,,2,4,0,None,0,"[3.0501594567718016, 1.0927446537784489, 0.0]",100.0,None,0,"[2.964498074746997, 2.8867134462981814, 0.0]",100.0,assessment,0,"[1.0208694983036366, 1.0143770822147273, 4.486924224255827]",99.08799743652344,assessment,0,"[12.085062484349157, 4.368685109306982, 4.512942762477131]",96.89600372314453
101.16,,,2,4,0,None,0,"[3.061801230264743, 1.1061820852132789, 0.0]",100.0,None,0,"[2.915481584820207, 2.8129032044236615, 0.0]",100.0,assessment,0,"[6.389209117103886, 2.1936078212692744, 4.491142930113169]",97.74400329589844,assessment,0,"[17.74534948869359, 5.0894802971982145, 4.50903620745978]",95.33599853515625
117.42,,,2,4,0,None,0,"[3.079547531245831, 1.1264220606562543, 0.0]",100.0,None,0,"[2.9099456389774563, 2.7800357747733777, 0.0]",100.0,assessment,0,"[12.241238522093777, 3.4905034451365182, 4.490173518842594]",96.95999908447266,assessment,0,"[24.05047440212443, 5.892385509041628, 4.514677539612235]",94.55999755859375
130.03,,,2,4,0,None,0,"[3.0970587725467618, 1.1454248114279684, 0.0]",100.0,None,0,"[2.91677424583872, 2.7638526642198817, 0.0]",100.0,assessment,0,"[16.85346005362062, 4.5126067510464605, 4.493489834735919]",96.16799926757812,assessment,0,"[28.663965266636986, 6.4798625916588515, 4.514896541320726]",93.7760009765625
143.68,,,2,4,0,None,0,"[3.1169299089598925, 1.1674463919902762, 0.0]",100.0,None,0,"[2.9268279512024686, 2.743966638233396, 0.0]",100.0,assessment,0,"[21.492880656772922, 5.540726301396353, 4.489742624944886]",94.60800170898438,assessment,0,"[33.30395841668567, 7.070728712959177, 4.510930169693633]",92.23200225830078
155.325,,,2,4,0,None,0,"[3.1247757704184136, 1.1768383263046571, 0.0]",100.0,None,0,"[2.9332461376516954, 2.7220973203785044, 0.0]",100.0,assessment,0,"[25.618873489834456, 6.455061346745051, 4.495017805698758]",93.85600280761719,assessment,0,"[37.511868388140144, 7.606560651041351, 4.516331333888804]",91.47200012207031
168.245,,,2,4,0,None,0,"[3.1291855178736236, 1.183700298288369, 0.0]",100.0,None,0,"[2.9532783402305687, 2.696767745349096, 0.0]",100.0,assessment,0,"[30.322724718303206, 7.497489893917168, 4.492589804384306]",93.06400299072266,assessment,0,"[40.798498069223214, 8.03522701166961, 4.518167436072062]",90.7040023803711
179.555,,,2,4,0,None,0,"[3.13408240224447, 1.186482179914, 0.0]",100.0,None,0,"[2.970394589287661, 2.6817201232311185, 0.0]",100.0,assessment,0,"[30.899144424948876, 7.625219394910457, 4.495131281159718]",92.30400085449219,assessment,0,"[40.77078006639856, 8.021627348587684, 4.515713568404542]",90.12799835205078
194.02,,,2,4,0,None,0,"[3.136149584188842, 1.1861720196547736, 0.0]",100.0,None,0,"[2.988573571058048, 2.6642026008433914, 0.0]",100.0,assessment,0,"[30.75959252048779, 6.707494419553093, 4.486265573469569]",92.10399627685547,assessment,0,"[38.702021512683764, 9.517151776295805, 5.42460607895268]",89.54399871826172
207.495,,,2,4,0,None,0,"[3.1330149288513147, 1.1798413437875634, 0.0]",100.0,None,0,"[3.0027555189717936, 2.6523881255782533, 0.0]",100.0,assessment,0,"[30.485455225924976, 4.937673076341837, 4.47125789562414]",91.36000061035156,assessment,0,"[37.97631376869426, 10.042619075151018, 5.72337513453395]",88.78399658203125
220.505,,,2,4,0,None,0,"[3.123943339538481, 1.1765854672798641, 0.0]",100.0,None,0,"[3.0121724259983296, 2.645177469474084, 0.0]",100.0,assessment,0,"[28.752769181610752, 4.789421925484197, 4.48446315758403]",91.27200317382812,assessment,0,"[37.9741015157983, 10.045577522441635, 5.723394014831751]",88.78399658203125
233.345,,,2,4,0,None,0,"[3.1262349250817225, 1.1725312183560015, 0.0]",100.0,None,0,"[3.023274344273616, 2.6372052111757887, 0.0]",100.0,assessment,0,"[27.965225861255142, 4.725389601286599, 4.490929754327713]",90.19200134277344,assessment,0,"[37.97411375308953, 6.001465878035153, 4.806447824821049]",87.98400115966797
246.57,,,2,4,0,None,0,"[3.120675493141067, 1.1514238903035112, 0.0]",100.0,None,0,"[3.0367320011230823, 2.6229134477415585, 0.0]",100.0,assessment,0,"[27.96613227302848, 4.7210569855716376, 4.4907859787999715]",90.19200134277344,assessment,0,"[37.97620222785645, 4.938788793646047, 4.579137994326687]",87.2239990234375
