,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
853.865,,,3,3,1,approach,4,"[36.008059697766456, 33.487275227278886, 0.0]",73.1980972290039,teleoperation,2,"[55.17815512386722, 27.791997261322802, 0.0]",65.8844985961914,assessment,1,"[22.011169125063738, 20.474334072542867, 8.792456351800576]",59.86399841308594,return to base,0,"[47.1287325919438, 13.144110842340135, 4.468965199774248]",57.40800094604492
862.855,,,3,3,1,approach,4,"[32.4267408778572, 33.39417674668728, 0.0]",72.40809631347656,teleoperation,2,"[55.16674032624893, 27.538161111733505, 0.0]",65.67849731445312,assessment,1,"[22.431418584319964, 20.499749560385514, 8.975484400413897]",59.58399963378906,return to base,0,"[47.1360429911099, 13.14564516195541, 4.469368410821733]",56.608001708984375
872.575,,,3,3,1,approach,4,"[31.01631350831866, 30.02848261469824, 0.0]",71.61810302734375,teleoperation,2,"[54.948150472978334, 27.05575960222123, 0.0]",65.42050170898438,assessment,1,"[25.0419852829572, 20.615026927453602, 9.407581876853579]",58.816001892089844,return to base,0,"[47.14150560593544, 13.148732332995179, 4.469741663050715]",55.80799865722656
881.13,,,3,3,1,approach,4,"[31.25195027100008, 26.61416981443639, 0.0]",71.61810302734375,teleoperation,2,"[54.499069634780064, 25.906151981968762, 0.0]",65.42050170898438,assessment,1,"[25.024196920024195, 20.614149252805323, 9.407294848985755]",58.816001892089844,return to base,0,"[47.133749447941575, 13.117279356591936, 4.531479816065628]",55.80799865722656
889.72,,,3,3,1,approach,4,"[31.238984723166496, 23.372441636085583, 0.0]",70.8281021118164,teleoperation,2,"[54.16689551806569, 25.380198653908984, 0.0]",64.91549682617188,assessment,1,"[25.210516783346808, 19.117637930875457, 9.858560399517014]",58.69599914550781,return to base,0,"[47.1311640509602, 13.083702095272013, 4.5477428827216615]",55.17599868774414
897.805,,,3,3,1,approach,4,"[30.82427599544725, 20.461213331222023, 0.0]",70.03810119628906,teleoperation,2,"[53.5054224750756, 25.00806550796154, 0.0]",64.59249877929688,assessment,1,"[25.286519293731068, 18.276879048390903, 10.078061969196515]",57.93600082397461,return to base,0,"[47.11935997143893, 13.049627071939971, 4.556365620056625]",54.375999450683594
907.5,,,3,3,1,approach,4,"[31.605934994654667, 18.008798836292733, 0.0]",69.24810028076172,teleoperation,2,"[52.67791054131719, 25.34541705723645, 0.0]",64.15249633789062,assessment,1,"[25.767927138515777, 17.920017680030806, 10.049191370241966]",57.560001373291016,return to base,0,"[47.127186544693494, 13.047099987580934, 4.546036665254946]",53.57600021362305
908.165,,,2,3,1,approach,5,"[31.603231439039767, 17.999334443201676, 0.0]",69.24810028076172,teleoperation,2,"[52.69317594701074, 25.29193142420646, 0.0]",64.15249633789062,assessment,1,"[26.147265633802704, 17.711610554673353, 10.05015007115682]",57.560001373291016,return to base,0,"[47.12720015739529, 13.047136420227934, 4.545926076913403]",53.57600021362305
908.215,end_app,pioneer3at_1,2,3,1,None,5,"[31.60302632891325, 17.99859046402635, 0.0]",69.24810028076172,teleoperation,2,"[52.6932803746475, 25.290886115065845, 0.0]",64.15249633789062,assessment,1,"[26.16685407817672, 17.70274234140892, 10.050153640536214]",57.560001373291016,return to base,0,"[47.12706732732452, 13.047135633767091, 4.546119119255798]",53.57600021362305
908.365,,,3,3,1,None,5,"[31.602397993032408, 17.99642008094303, 0.0]",69.24810028076172,teleoperation,2,"[52.69390559838299, 25.287797824544274, 0.0]",64.15249633789062,assessment,1,"[26.20493550411664, 17.686150503051206, 10.050130639019658]",57.560001373291016,return to base,0,"[47.12708990413433, 13.047119397900016, 4.546166670318618]",53.57600021362305
