,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
0.415,,pioneer3at_1,0,2,0,None,0,[],100,None,0,[],100
0.745,,UAV_1,0,2,0,None,0,[],100,None,0,[],100
10.48,,,0,2,0,None,0,"[3.0069445644210893, 1.021737237982422, 0.0]",100.0,None,0,"[0.9986272741431743, 0.9994193970006064, 0.657234351376628]",100.0
24.14,,,0,2,0,None,0,"[3.0153181235240223, 1.0387715434526814, 0.0]",100.0,None,0,"[0.9980125772913846, 0.9991696311007822, 0.6572786797710407]",100.0
38.43,,,0,2,0,None,0,"[3.0224927719013297, 1.052570944116407, 0.0]",100.0,None,0,"[0.9977155183501576, 0.9988798203292315, 0.6572609336901261]",100.0
52.515,,,0,2,0,None,0,"[3.030284888455061, 1.0655016375440596, 0.0]",100.0,None,0,"[0.997444221972699, 0.998560004776017, 0.657218001468715]",100.0
67.31,,,0,2,0,None,0,"[3.0392182458777834, 1.078576531774822, 0.0]",100.0,None,0,"[0.997645819799779, 0.9982225639147523, 0.6572040354226171]",100.0
69.36,,,0,2,0,None,0,"[3.040522714854075, 1.080329840191455, 0.0]",100.0,None,0,"[0.9976001478920311, 0.9981876539966803, 0.6572619996461389]",100.0
69.785,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0408162766295668, 1.0807526349838203, 0.0]",100.0,None,0,"[0.9975687902297197, 0.9980671683072774, 0.6572061191289916]",100.0
70.145,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0410379411827027, 1.0810249612272265, 0.0]",100.0,None,0,"[0.9975743133445175, 0.998062028441345, 0.6572072963005093]",100.0
70.42,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.041231823051597, 1.0812854138930017, 0.0]",100.0,None,0,"[0.9976453356299609, 0.9981260231188109, 0.6572039630582582]",100.0
70.61,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0413329974019447, 1.0814472454577975, 0.0]",100.0,None,0,"[0.9975910171903176, 0.9981661493973316, 0.6572507608572193]",100.0
70.83,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.041462585214109, 1.0816207678954723, 0.0]",100.0,None,0,"[0.9975314026752851, 0.9982232319448412, 0.6572024524832285]",100.0
71.235,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.041722253361355, 1.0819676594056031, 0.0]",100.0,None,0,"[0.9976962106658595, 0.9981415204292545, 0.6571937348587579]",100.0
71.76,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.042076236962689, 1.0824127093900329, 0.0]",100.0,None,0,"[0.9976056102290648, 0.9981398150058478, 0.6572619108432944]",100.0
71.985,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0422435519856883, 1.0826608330769456, 0.0]",100.0,None,0,"[0.9975506100585063, 0.9981250654951443, 0.6572294550331962]",100.0
72.21,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0423742844581168, 1.082834000909397, 0.0]",100.0,None,0,"[0.9974981103600795, 0.9981141630584435, 0.6571982711051726]",100.0
72.405,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.042505180324835, 1.0830071192737512, 0.0]",100.0,None,0,"[0.9977195852483056, 0.9980922211791626, 0.6571940491276034]",100.0
72.735,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.042664879472541, 1.0831919010846023, 0.0]",100.0,None,0,"[0.9975381575789152, 0.9981593150653407, 0.6571952709500781]",100.0
72.97,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.042898843831663, 1.0835261816247321, 0.0]",100.0,None,0,"[0.9975941823529642, 0.9980296122715092, 0.657290926717971]",100.0
73.545,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.043256824231187, 1.0839701124690413, 0.0]",100.0,None,0,"[0.9974905313550232, 0.9981370777783155, 0.6571977050721003]",100.0
73.755,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0433888165823375, 1.0841429188628724, 0.0]",100.0,None,0,"[0.997551496489349, 0.998076366859645, 0.6572616742744537]",100.0
73.925,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0435209725974777, 1.0843156790593909, 0.0]",100.0,None,0,"[0.997562731429205, 0.9980752984711715, 0.657261743650043]",100.0
74.21,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0437195137748767, 1.0845747335295362, 0.0]",100.0,None,0,"[0.9974935838681938, 0.998069001964709, 0.6572195626944844]",100.0
74.485,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0438894231334825, 1.0848219768826393, 0.0]",100.0,None,0,"[0.9974995723646906, 0.9980566378195211, 0.6572282412373885]",100.0
74.7,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.044022197684306, 1.0849945543902093, 0.0]",100.0,None,0,"[0.9975612127043145, 0.9980753991129532, 0.6572618799846552]",100.0
75.025,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0442507718248453, 1.0852650474295626, 0.0]",100.0,None,0,"[0.9975544509982681, 0.997959297099625, 0.6572073406494147]",100.0
75.4,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0444882143076466, 1.0855982227754193, 0.0]",100.0,None,0,"[0.9975505622551303, 0.9980609070993655, 0.6572615424407544]",100.0
75.585,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0446217356759173, 1.085770600782132, 0.0]",100.0,None,0,"[0.9975531403974924, 0.9980290498059503, 0.6572705010015705]",100.0
75.84,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0447846888524217, 1.085954654607654, 0.0]",100.0,None,0,"[0.9975692042073878, 0.9980418275740436, 0.6572600133811107]",100.0
76.03,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.044889277913795, 1.0861152298168097, 0.0]",100.0,None,0,"[0.9975611022940433, 0.9980377459093589, 0.6572553491801975]",100.0
76.33,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0451197423021727, 1.086385316751809, 0.0]",100.0,None,0,"[0.9975174901328245, 0.9980349585110075, 0.6572604727672425]",100.0
76.515,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0451868783824905, 1.086471418339062, 0.0]",100.0,None,0,"[0.9975798961163445, 0.9979691575169347, 0.657185781486599]",100.0
77.11,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.0455231865018924, 1.086901774507423, 0.0]",100.0,None,0,"[0.9975744225879067, 0.997978920110448, 0.6571838126717708]",100.0
77.305,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.045763401763887, 1.087234137316746, 0.0]",100.0,None,0,"[0.9974234134348463, 0.9980907703076705, 0.6572016899993276]",100.0
77.68,rep_self_pos,pioneer3at_1,1,2,0,None,0,"[3.046033784182023, 1.0875780763079428, 0.0]",100.0,None,0,"[0.997441639020961, 0.9980206262088672, 0.6572608499305824]",100.0
