,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
419.345,,,1,2,0,exploration,0,"[12.73778548760741, 7.523763268865136, 0.0]",89.82820129394531,None,0,"[0.9948736807989763, 1.0016408451495191, 0.6572354364438354]",100.0
431.06,,,1,2,0,exploration,0,"[11.828718296742274, 7.92142395664433, 0.0]",88.54070281982422,None,0,"[0.9949892153993146, 1.001822430216932, 0.657233956108174]",100.0
445.16,,,1,2,0,exploration,0,"[11.8467848237821, 7.880054555350984, 0.0]",88.40070343017578,None,0,"[0.9949312111298793, 1.0021673353160192, 0.6572329879032842]",100.0
457.315,,,1,2,0,exploration,0,"[10.892165908948593, 7.822471898036646, 0.0]",88.26069641113281,None,0,"[0.9949505596333252, 1.0025991263586396, 0.6571882851282653]",100.0
467.77,,,1,2,0,exploration,0,"[8.55606760166528, 11.097936125800844, 0.0]",87.56819915771484,None,0,"[0.9948703898513928, 1.0028865536473384, 0.6570381569943168]",100.0
478.745,,,1,2,0,exploration,0,"[7.746976226724903, 12.59018792185479, 0.0]",86.7781982421875,None,0,"[0.9948697143866166, 1.003097581649305, 0.6572303089260412]",100.0
492.77,,,1,2,0,exploration,0,"[7.652268431572227, 12.495074650692015, 0.0]",85.82869720458984,None,0,"[0.9948777328552882, 1.0033230090032532, 0.6571908216275694]",100.0
503.655,end_exp,pioneer3at_1,1,2,0,None,0,"[7.653372028166447, 12.457392676758634, 0.0]",85.6886978149414,None,0,"[0.994973392484788, 1.003730857889732, 0.6571508527963209]",100.0
503.71,,,1,2,0,None,0,"[7.653428422779868, 12.457162485785242, 0.0]",85.6886978149414,None,0,"[0.9951156669856815, 1.0036600834956326, 0.6571875762021724]",100.0
504.725,off_vs,pioneer3at_1,0,2,0,None,1,"[7.653701567584971, 12.453642123070829, 0.0]",85.6886978149414,None,0,"[0.995022976182312, 1.0036387597289484, 0.6572278405024008]",100.0
505.635,off_gs,pioneer3at_1,0,2,0,None,1,"[7.65386984304478, 12.45098319615861, 0.0]",85.6886978149414,None,0,"[0.9948547842556095, 1.0036417978226115, 0.6571643990876805]",100.0
519.22,,,0,2,0,None,1,"[7.653862127301563, 12.401999546954947, 0.0]",85.64309692382812,None,0,"[0.995031476045174, 1.0037099775134632, 0.6571527349579444]",100.0
531.995,,,0,2,0,None,1,"[7.627731510407931, 12.378287067314842, 0.0]",85.64309692382812,None,0,"[0.9949095373084825, 1.0037967928795068, 0.6571717592972514]",100.0
544.395,,,0,2,0,None,1,"[7.60347763430966, 12.354800977380883, 0.0]",85.64309692382812,None,0,"[0.9949535936863154, 1.0042368045893608, 0.6571966968197908]",100.0
549.145,,,1,2,0,None,1,"[7.594572543801267, 12.34613390676149, 0.0]",85.64309692382812,None,0,"[0.9948524739747363, 1.0041511483353327, 0.6571896954697092]",100.0
550.23,on_vs,pioneer3at_1,1,2,0,None,1,"[7.592598181647332, 12.344139712949982, 0.0]",85.64309692382812,None,0,"[0.9948847999789189, 1.0042528602311387, 0.6570355917168156]",100.0
553.605,st_app,pioneer3at_1,1,2,0,approach,1,"[8.388940450820643, 11.735644114084916, 0.0]",85.5896987915039,None,0,"[0.9948369293796957, 1.004360913634781, 0.6572409896610765]",100.0
564.65,,,1,2,0,approach,1,"[12.625545802043197, 12.891355881312116, 0.0]",84.84970092773438,None,0,"[0.9949021212563894, 1.004700223526997, 0.6572299246060197]",100.0
