,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_2_cur_maneuver,UAV_2_tasks_counter
0,0,4,0,None,0,None,0,None,0,None,0
6,0,4,0,None,0,None,0,None,0,None,0
18,0,4,0,None,0,None,0,None,0,None,0
31,0,4,0,None,0,None,0,None,0,None,0
42,1,4,0,None,0,None,0,None,0,None,0
45,1,4,0,None,0,None,0,None,0,assessment,0
59,1,4,0,None,0,None,0,None,0,assessment,0
72,1,4,0,None,0,None,0,None,0,assessment,0
84,1,4,0,None,0,None,0,None,0,assessment,0
85,2,4,0,None,0,None,0,None,0,None,0
88,2,4,0,None,0,None,0,assessment,0,None,0
90,2,4,0,None,0,None,0,assessment,0,assessment,0
104,2,4,0,None,0,None,0,assessment,0,assessment,0
118,2,4,0,None,0,None,0,assessment,0,assessment,0
132,2,4,0,None,0,None,0,assessment,0,assessment,0
146,2,4,0,None,0,None,0,assessment,0,assessment,0
159,2,4,0,None,0,None,0,assessment,0,assessment,0
174,2,4,0,None,0,None,0,assessment,0,assessment,0
184,2,4,0,None,0,None,0,assessment,0,assessment,0
195,2,4,0,None,0,None,0,assessment,0,assessment,0
206,2,4,0,None,0,None,0,assessment,0,assessment,0
217,2,4,0,None,0,None,0,assessment,0,assessment,0
227,2,4,0,None,0,None,0,assessment,0,assessment,0
238,2,4,0,None,0,None,0,assessment,0,assessment,0
249,2,4,0,None,0,None,0,assessment,0,assessment,0
261,2,4,0,None,0,None,0,assessment,0,assessment,0
272,2,4,0,None,0,None,0,assessment,0,assessment,0
282,2,4,0,None,0,None,0,assessment,0,assessment,0
293,2,4,0,None,0,None,0,assessment,0,None,1
298,2,4,0,None,0,None,0,assessment,0,assessment,1
310,2,4,0,None,0,None,0,assessment,0,assessment,1
322,2,4,0,None,0,None,0,assessment,0,assessment,1
331,2,4,0,None,0,None,0,assessment,0,assessment,1
339,2,4,0,None,0,None,0,assessment,0,assessment,1
348,2,4,0,None,0,None,0,assessment,0,assessment,1
357,2,4,0,None,0,None,0,assessment,0,assessment,1
367,2,4,0,None,0,None,0,assessment,0,assessment,1
378,2,4,0,None,0,None,0,assessment,0,assessment,1
383,2,4,0,None,0,None,0,None,1,assessment,1
387,2,4,0,None,0,None,0,assessment,1,assessment,1
399,2,4,0,None,0,None,0,assessment,1,assessment,1
410,2,4,0,None,0,None,0,assessment,1,assessment,1
421,2,4,0,None,0,None,0,assessment,1,assessment,1
433,2,4,0,None,0,None,0,assessment,1,assessment,1
446,2,4,0,None,0,None,0,assessment,1,assessment,1
449,2,4,0,None,0,None,0,None,2,assessment,1
453,2,4,0,None,0,None,0,assessment,2,assessment,1
465,2,4,0,None,0,None,0,assessment,2,assessment,1
479,2,4,0,None,0,None,0,assessment,2,assessment,1
483,3,4,0,None,0,None,0,assessment,2,assessment,1
487,3,4,0,None,0,approach,0,assessment,2,assessment,1
488,4,4,0,None,0,approach,0,assessment,2,assessment,1
491,4,4,0,approach,0,approach,0,assessment,2,assessment,1
497,4,4,0,approach,0,approach,0,assessment,2,None,1
499,4,4,1,approach,0,approach,0,assessment,2,teleoperation,1
508,4,4,1,approach,0,approach,0,assessment,2,teleoperation,1
514,4,4,1,approach,0,approach,0,assessment,2,None,1
517,4,4,1,approach,0,approach,0,assessment,2,assessment,1
524,4,4,1,approach,0,approach,0,assessment,2,assessment,1
531,4,4,1,approach,0,approach,0,assessment,2,assessment,1
539,4,4,1,approach,0,approach,0,assessment,2,assessment,1
546,4,4,1,approach,0,None,1,assessment,2,assessment,1
549,4,4,1,approach,0,approach,1,assessment,2,assessment,1
555,4,4,1,None,0,approach,1,assessment,2,assessment,1
556,4,4,2,teleoperation,0,approach,1,assessment,2,assessment,1
563,4,4,2,None,0,approach,1,assessment,2,assessment,1
565,4,4,2,approach,0,approach,1,assessment,2,assessment,1
573,4,4,2,approach,0,approach,1,assessment,2,assessment,1
578,4,4,2,approach,0,approach,1,None,2,assessment,1
580,4,4,3,approach,0,approach,1,teleoperation,2,assessment,1
586,4,4,3,approach,0,approach,1,teleoperation,2,assessment,1
592,4,4,3,approach,0,approach,1,teleoperation,2,assessment,1
599,3,4,3,approach,0,approach,1,teleoperation,2,None,2
600,4,4,3,approach,0,approach,1,teleoperation,2,None,2
601,4,4,3,approach,0,approach,1,teleoperation,2,assessment,2
608,4,4,3,approach,0,approach,1,teleoperation,2,assessment,2
614,4,4,3,approach,0,approach,1,teleoperation,2,assessment,2
621,4,4,3,approach,0,approach,1,teleoperation,2,assessment,2
627,4,4,3,None,1,approach,1,teleoperation,2,assessment,2
630,4,4,3,approach,1,approach,1,teleoperation,2,assessment,2
636,4,4,3,approach,1,approach,1,teleoperation,2,assessment,2
643,4,4,3,approach,1,approach,1,teleoperation,2,assessment,2
650,4,4,3,approach,1,approach,1,teleoperation,2,assessment,2
657,4,4,3,approach,1,approach,1,teleoperation,2,assessment,2
660,4,4,3,approach,1,approach,1,teleoperation,2,None,2
661,4,4,4,approach,1,approach,1,teleoperation,2,teleoperation,2
668,3,4,4,approach,1,None,2,teleoperation,2,teleoperation,2
671,3,4,4,approach,1,approach,2,teleoperation,2,teleoperation,2
672,3,4,4,None,1,approach,2,teleoperation,2,teleoperation,2
673,3,4,5,teleoperation,1,approach,2,teleoperation,2,teleoperation,2
679,3,4,5,None,1,approach,2,teleoperation,2,teleoperation,2
681,3,4,5,approach,1,approach,2,teleoperation,2,teleoperation,2
688,3,4,5,approach,1,approach,2,teleoperation,2,teleoperation,2
695,3,4,5,approach,1,approach,2,teleoperation,2,teleoperation,2
698,3,4,5,None,1,approach,2,teleoperation,2,teleoperation,2
699,3,4,6,teleoperation,1,approach,2,teleoperation,2,teleoperation,2
700,2,3,6,teleoperation,1,approach,2,None,2,teleoperation,2
706,2,3,6,None,1,approach,2,None,2,teleoperation,2
707,2,3,6,None,1,approach,2,None,2,teleoperation,2
709,2,3,6,approach,1,approach,2,None,2,teleoperation,2
716,2,3,6,approach,1,approach,2,None,2,teleoperation,2
723,2,3,6,approach,1,approach,2,None,2,teleoperation,2
730,2,3,6,approach,1,approach,2,None,2,teleoperation,2
736,2,3,6,approach,1,approach,2,None,2,teleoperation,2
743,2,3,6,approach,1,approach,2,None,2,teleoperation,2
750,2,3,6,approach,1,approach,2,None,2,teleoperation,2
757,2,3,6,approach,1,approach,2,None,2,teleoperation,2
765,2,3,6,approach,1,approach,2,None,2,teleoperation,2
772,2,3,6,approach,1,approach,2,None,2,teleoperation,2
779,2,3,6,approach,1,approach,2,None,2,teleoperation,2
787,2,3,6,approach,1,approach,2,None,2,teleoperation,2
795,2,3,6,approach,1,approach,2,None,2,teleoperation,2
802,2,3,6,approach,1,approach,2,None,2,teleoperation,2
809,2,3,6,approach,1,approach,2,None,2,teleoperation,2
810,2,3,6,approach,1,None,2,None,2,teleoperation,2
811,2,3,6,approach,1,None,3,None,2,teleoperation,2
813,2,3,6,approach,1,approach,3,None,2,teleoperation,2
819,2,3,6,None,1,approach,3,None,2,teleoperation,2
820,2,3,6,None,1,approach,3,None,2,None,2
821,3,3,7,teleoperation,1,approach,3,None,2,None,2
822,3,3,7,teleoperation,1,approach,3,None,2,assessment,2
826,3,3,7,None,1,approach,3,None,2,assessment,2
827,3,3,7,None,1,approach,3,None,2,assessment,2
829,3,3,7,approach,1,approach,3,None,2,assessment,2
836,3,3,7,approach,1,approach,3,None,2,assessment,2
842,3,3,7,approach,1,approach,3,None,2,assessment,2
844,3,3,7,approach,1,None,3,None,2,assessment,2
845,3,3,7,None,1,None,3,None,2,assessment,2
