,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.115,,UAV_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,"[0.9902033734326585, 3.9910481657805614, 0.7194187343580372]",100
6.795,,pioneer3at_1,0,4,0,None,0,"[3.003267393837905, 1.9899426646785574, 0.0]",100,None,0,"[2.998615047965523, 3.9811722043622733, 0.0]",100,None,0,"[0.9961874644580306, 1.991859111883556, 0.6611014263932232]",100,None,0,"[0.9124880357681046, 3.795717976374559, 0.7063963514668756]",100
18.855,,,0,4,0,None,0,"[3.010663718257145, 1.9765717449935238, 0.0]",100.0,None,0,"[2.9961809595841613, 3.9645830021879975, 0.0]",100.0,None,0,"[0.9945196453034835, 1.9883107714967239, 0.6610253002350489]",100.0,None,0,"[0.9132096745352906, 3.7940191272065373, 0.706240605020487]",100.0
30.945,,,0,4,0,None,0,"[3.0171764478118215, 1.9645275950225909, 0.0]",100.0,None,0,"[2.99276207840627, 3.9468334511375778, 0.0]",100.0,None,0,"[0.9941468961132202, 1.9860857156789766, 0.6609922613849029]",100.0,None,0,"[0.9141052864733739, 3.79161588840495, 0.7061028727436671]",100.0
42.99,,,0,4,0,None,0,"[3.02403759860079, 1.9543881456032732, 0.0]",100.0,None,0,"[2.989553637456306, 3.9432288152274673, 0.0]",100.0,None,0,"[0.9942296652593745, 1.9849928201053806, 0.6609913497373108]",100.0,None,0,"[0.9152900808418283, 3.7896537633293392, 0.7060094154971672]",100.0
43.145,,,0,4,0,None,0,"[3.024162135892693, 1.954223457206286, 0.0]",100.0,None,0,"[2.989513189602137, 3.943234541673595, 0.0]",100.0,None,0,"[0.9942358204511255, 1.9849197645442536, 0.6609701773960627]",100.0,None,0,"[0.9154577341702339, 3.789781207102365, 0.7060223881608491]",100.0
47.1,uav_st_assess,UAV_2,1,4,0,None,0,"[3.026306596865103, 1.9510920870478177, 0.0]",100.0,None,0,"[2.988622471811344, 3.9428740522100685, 0.0]",100.0,None,0,"[0.9943405853211529, 1.9848403920652768, 0.6609402689112477]",100.0,assessment,0,"[0.9456443127749415, 3.8247512850812586, 1.5177709967132396]",100.0
59.72,,,1,4,0,None,0,"[3.0357412624943136, 1.9440143015429658, 0.0]",100.0,None,0,"[2.985814400524542, 3.9416598641220033, 0.0]",100.0,None,0,"[0.9943325511282046, 1.984256578115384, 0.6608690225760485]",100.0,assessment,0,"[3.320993427203857, 3.6844127469495263, 1.9979896244438564]",99.6719970703125
64.9,,,2,4,0,None,0,"[3.0370099270931252, 1.9418169146845274, 0.0]",100.0,None,0,"[2.9844899462169274, 3.9410181901244683, 0.0]",100.0,None,0,"[0.9942645108734106, 1.9840813016099395, 0.6609775087367482]",100.0,assessment,0,"[5.363636588771215, 3.554267036822292, 2.2769553221174004]",98.87200164794922
68.73,uav_st_assess,UAV_1,2,4,0,None,0,"[3.038100691673755, 1.9401281986077303, 0.0]",100.0,None,0,"[2.9837238229198433, 3.9407143183101754, 0.0]",100.0,assessment,0,"[1.0155569767535713, 1.9908767825496045, 1.4913047386531348]",100.0,assessment,0,"[6.743676408481141, 3.467375292485377, 2.6122654992070014]",98.87200164794922
84.02,,,2,4,0,None,0,"[3.042603964183753, 1.9341067295407848, 0.0]",100.0,None,0,"[2.9781746112065326, 3.9363570516989554, 0.0]",100.0,assessment,0,"[2.2445387369135488, 2.1592786319694883, 4.485090569237954]",99.09600067138672,assessment,0,"[12.492309602658773, 3.1061459460066416, 3.592957304495479]",97.28800201416016
98.37,,,2,4,0,None,0,"[3.0467636908406486, 1.9284542847712651, 0.0]",100.0,None,0,"[2.973388573957137, 3.9319878607900223, 0.0]",100.0,assessment,0,"[6.796608576670139, 2.788924853986694, 4.484029058864045]",98.30400085449219,assessment,0,"[17.526374238804145, 2.789850202129214, 4.46765804168737]",96.49600219726562
115.08,,,2,4,0,None,0,"[3.0526766509244316, 1.921900327780703, 0.0]",100.0,None,0,"[2.96712848802081, 3.9280606150890347, 0.0]",100.0,assessment,0,"[13.192205327920949, 3.6724960722573217, 4.490062233718996]",96.72000122070312,assessment,0,"[17.336886973374103, 4.9842870481047505, 4.5662306576130804]",95.11199951171875
130.555,,,2,4,0,None,0,"[3.059443878033626, 1.9168519411056226, 0.0]",100.0,None,0,"[2.9637342527925474, 3.930100778801054, 0.0]",100.0,assessment,0,"[18.714297213003274, 4.4353661567380485, 4.4908373286322165]",95.1520004272461,assessment,0,"[16.483052940251117, 5.014398451870911, 4.607010920774948]",94.0
144.755,,,2,4,0,None,0,"[3.062737063604007, 1.9160697034496403, 0.0]",100.0,None,0,"[2.9619821475549193, 3.931922003876101, 0.0]",100.0,assessment,0,"[24.23540014725698, 5.198104190085602, 4.491935948045307]",94.36000061035156,assessment,0,"[13.869673432350629, 5.07056604033926, 4.656876471581369]",93.28800201416016
157.57,,,2,4,0,None,0,"[3.064453065691791, 1.9162252054219846, 0.0]",100.0,None,0,"[2.9606265410617407, 3.9334148371325885, 0.0]",100.0,assessment,0,"[28.791346573537293, 5.8275104027668565, 4.488441518504403]",93.57599639892578,assessment,0,"[9.989990748370843, 5.493497037346134, 4.647298549797251]",92.59200286865234
171.4,,,2,4,0,None,0,"[3.0662944863525583, 1.916560837733173, 0.0]",100.0,None,0,"[2.9593478954212347, 3.934826767698806, 0.0]",100.0,assessment,0,"[34.14999720925956, 6.5678004931641505, 4.493492212438583]",92.01599884033203,assessment,0,"[9.19707098068472, 5.474290705975495, 4.637421902447644]",91.55999755859375
183.815,,,2,4,0,None,0,"[3.0676687944235423, 1.9171070111654274, 0.0]",100.0,None,0,"[2.9577931215187, 3.936502095909267, 0.0]",100.0,assessment,0,"[38.58183563811826, 7.180054473869382, 4.494219727731096]",91.23999786376953,assessment,0,"[5.636528924906183, 5.434469514808908, 4.606229986925252]",90.7760009765625
196.14,,,2,4,0,None,0,"[3.0697343454837975, 1.9177349052565245, 0.0]",100.0,None,0,"[2.9565032838827863, 3.9378474989158496, 0.0]",100.0,assessment,0,"[43.00449023418481, 7.791038571565231, 4.4951620593438575]",90.447998046875,assessment,0,"[4.989278777002958, 5.44338389305025, 4.608563349021266]",90.23200225830078
208.705,,,2,4,0,None,0,"[3.0712714955731126, 1.9185507995305298, 0.0]",100.0,None,0,"[2.955342068066263, 3.9391879263062086, 0.0]",100.0,assessment,0,"[42.835074632425844, 7.318796224916406, 4.629998933578397]",89.88800048828125,assessment,0,"[6.811763590023319, 9.176825882441712, 4.666850460465196]",89.72000122070312
223.97,,,2,4,0,None,0,"[3.0724820938405455, 1.9192060636943062, 0.0]",100.0,None,0,"[2.953727929262079, 3.940940125632118, 0.0]",100.0,assessment,0,"[42.470369231606504, 5.001083731870046, 4.943357039492506]",88.91999816894531,assessment,0,"[8.29630130603369, 10.034475511679084, 4.72745056059621]",88.63200378417969
236.3,,,2,4,0,None,0,"[3.0729269554439322, 1.919527172164951, 0.0]",100.0,None,0,"[2.952498272413206, 3.9422404434370355, 0.0]",100.0,assessment,0,"[45.03545203743169, 5.9801011216452515, 4.688393130483506]",88.16799926757812,assessment,0,"[11.894345325855218, 10.043407931240214, 4.911339602881265]",87.86399841308594
239.17,,,2,4,0,None,0,"[3.072780911074211, 1.9193554428648307, 0.0]",100.0,None,0,"[2.952145214412083, 3.94263066496756, 0.0]",100.0,assessment,0,"[45.043249386882565, 5.98334751947565, 4.688021706413192]",88.16799926757812,assessment,0,"[12.956741633206327, 10.043824489497021, 4.959483923754514]",87.86399841308594
240.055,on_gs,pioneer3at_2,3,4,0,None,0,"[3.0727719491614263, 1.9193419204318494, 0.0]",100.0,None,0,"[2.9521081020327378, 3.942676522659432, 0.0]",100.0,assessment,0,"[45.043964657669264, 5.9836514818066435, 4.687940732913306]",88.16799926757812,assessment,0,"[13.50982897395895, 10.044062616546332, 4.970266535271534]",87.86399841308594
241.225,on_vs,pioneer3at_2,3,4,0,None,0,"[3.0728233514197565, 1.9193825847712254, 0.0]",100.0,None,0,"[2.9520684089622433, 3.9427277547403228, 0.0]",99.99079895019531,assessment,0,"[45.04478808626634, 5.983994219123209, 4.687863409584581]",87.90399932861328,assessment,0,"[13.656303249819414, 10.044121935166805, 4.969441940897349]",87.08000183105469
246.48,st_app,pioneer3at_2,3,4,0,None,0,"[3.072852243059008, 1.9193610657384934, 0.0]",100.0,approach,0,"[3.853863653400449, 4.06624888461034, 0.0]",99.99079895019531,assessment,0,"[45.020584766058874, 5.948745848683554, 4.687890999413358]",87.90399932861328,assessment,0,"[14.630747141104107, 10.044547556259898, 5.017902897770655]",87.08000183105469
259.485,,,3,4,0,None,0,"[3.0731072966001958, 1.9194721956911402, 0.0]",100.0,approach,0,"[9.144158361883624, 4.096006980064418, 0.0]",99.2593002319336,assessment,0,"[45.045613441695444, 9.952368515914735, 4.5141276314578676]",87.40799713134766,assessment,0,"[15.773186318474108, 9.851565571657474, 5.018148108550987]",86.71199798583984
270.83,,,3,4,0,None,0,"[3.0733225651835223, 1.9195641210908634, 0.0]",100.0,approach,0,"[13.243607219903154, 4.501454081340476, 0.0]",97.6792984008789,assessment,0,"[45.042496057841376, 10.034798390933888, 5.241421614619166]",86.63200378417969,assessment,0,"[19.994575917072797, 9.145777503382801, 5.017758089168539]",86.04000091552734
281.435,,,3,4,0,None,0,"[3.073611342341624, 1.9197156351278506, 0.0]",100.0,approach,0,"[17.507818289856854, 4.535700128130935, 0.0]",96.88929748535156,assessment,0,"[44.285632511390226, 10.230286928597547, 7.747591154952901]",85.4800033569336,assessment,0,"[20.051566607402503, 9.134951173687126, 5.016925440636023]",84.93599700927734
290.41,,,3,4,0,None,0,"[3.073730314465581, 1.919712438658397, 0.0]",100.0,approach,0,"[21.069082162559287, 4.914602664000315, 0.0]",96.88929748535156,assessment,0,"[44.265737190327684, 10.214524758388816, 7.616288555070079]",85.4800033569336,assessment,0,"[20.4929646953919, 10.867784282800216, 4.951125307552948]",84.93599700927734
295.795,,,3,4,0,None,0,"[3.073861978935652, 1.9197707231625027, 0.0]",100.0,approach,0,"[22.82292679725746, 5.128597256436385, 0.0]",96.09929656982422,assessment,0,"[44.24740239111303, 10.199998929282039, 7.538638593296833]",84.68000030517578,assessment,0,"[20.678157630080953, 11.626003181854953, 4.918631028003296]",84.31199645996094
296.645,on_vs,pioneer3at_1,4,4,0,None,0,"[3.0738892282046386, 1.9197928857893187, 0.0]",100.0,approach,0,"[23.187364863061543, 5.191992480664471, 0.0]",96.09929656982422,assessment,0,"[44.244118854080426, 10.197397533255026, 7.525347716760963]",84.68000030517578,assessment,0,"[20.680714288361223, 11.63704519255559, 4.918490959726474]",84.31199645996094
299.105,st_app,pioneer3at_1,4,4,0,approach,0,"[3.3020773206217653, 2.151191618409693, 0.0]",100.0,approach,0,"[24.193210465688153, 5.355355193931584, 0.0]",96.09929656982422,assessment,0,"[44.23526739130661, 10.190384924464434, 7.489545718100395]",84.68000030517578,assessment,0,"[20.683857763679228, 11.65100144298104, 4.918266453133607]",84.31199645996094
302.28,,,3,4,0,approach,0,"[3.4362891491886822, 2.235518805012828, 0.0]",99.6884994506836,approach,0,"[25.45285255301208, 5.542314993107272, 0.0]",95.3093032836914,assessment,0,"[44.22386628910905, 10.181352354107538, 7.443325301430286]",83.87999725341797,assessment,0,"[20.655205540398644, 11.599056651478755, 4.920113640606466]",83.85600280761719
303.45,uav_sus_assess,UAV_1,4,4,0,approach,0,"[3.437673950715189, 2.221570918152521, 0.0]",99.6884994506836,approach,0,"[25.916189548035547, 5.605618474830108, 0.0]",95.3093032836914,None,0,"[44.21954280567006, 10.17792705658901, 7.425763396591183]",83.87999725341797,assessment,0,"[19.91084485112383, 11.725153488813877, 4.9368834294923145]",83.85600280761719
