,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.13,,0,4,0,None,0,[],100,None,0,[],100,None,0,"[1.0000000002601663, 1.0, 0.6889771782967199]",100,None,0,[],100
0.355,,0,4,0,None,0,[],100,None,0,[],100,None,0,"[0.9987122035173996, 0.9990743206822821, 0.6572681782430723]",100,None,0,[],100
7.38,,0,4,0,None,0,"[3.003362421862814, 1.0138445167672214, 0.0]",100,None,0,"[2.999241082461321, 2.9859710199128484, 0.0]",100,None,0,"[0.9967964979683616, 0.9981397464834866, 0.6572564924796129]",100,None,0,"[0.9687616385355179, 2.9694472632545565, 0.6817720794160584]",100
20.53,,0,4,0,None,0,"[3.013068451673042, 1.0341622958062593, 0.0]",100.0,None,0,"[2.9954445095450772, 2.9706940993137883, 0.0]",100.0,None,0,"[0.9965604665414898, 0.9972778597379975, 0.6572053502059926]",100.0,None,0,"[0.9688321114702783, 2.9699123740809648, 0.6817864249593224]",100.0
33.365,,0,4,0,None,0,"[3.0192704076955486, 1.0468174788492, 0.0]",100.0,None,0,"[2.9923936585317787, 2.9558105932120524, 0.0]",100.0,None,0,"[0.9978531563826686, 0.9972289364563964, 0.6572671618952104]",100.0,None,0,"[0.9695038665275998, 2.969978830957018, 0.6818045172044036]",100.0
44.23,,0,4,0,None,0,"[3.024945195938329, 1.0569453979424206, 0.0]",100.0,None,0,"[2.9903847590315586, 2.9427951756091892, 0.0]",100.0,None,0,"[0.9973028693564142, 0.9967577217040339, 0.6572636113657517]",100.0,None,0,"[0.9701814062679905, 2.9699134636495317, 0.6818187287170285]",100.0
55.4,,0,4,0,None,0,"[3.0313269098378854, 1.0671994427202678, 0.0]",100.0,None,0,"[2.9893316860442827, 2.927677409874569, 0.0]",100.0,None,0,"[0.9969888809400793, 0.9962310641531077, 0.6572057813174054]",100.0,None,0,"[0.9707710038469999, 2.970052886600597, 0.6818370542150713]",100.0
66.78,,0,4,0,None,0,"[3.038182369760403, 1.0772093388786812, 0.0]",100.0,None,0,"[2.983639042291086, 2.9148536202680853, 0.0]",100.0,None,0,"[0.9972250236447507, 0.995833384726611, 0.6572649546170934]",100.0,None,0,"[0.9714124163097203, 2.9701113105641794, 0.6818541398782461]",100.0
77.105,,0,4,0,None,0,"[3.044938657030086, 1.0862275950696716, 0.0]",100.0,None,0,"[2.978919278997798, 2.904261533374426, 0.0]",100.0,None,0,"[0.9967122312753689, 0.995199131948499, 0.6572791699391595]",100.0,None,0,"[0.9721794507492747, 2.9700169252149933, 0.6818697820008233]",100.0
89.495,,0,4,0,None,0,"[3.053579208305578, 1.0968110078365738, 0.0]",100.0,None,0,"[2.9584464511765303, 2.877839202361333, 0.0]",100.0,None,0,"[0.9973598256926757, 0.9950182973380992, 0.6572410697791883]",100.0,None,0,"[0.972860775827022, 2.9701544772046664, 0.6818901570954812]",100.0
100.29,,0,4,0,None,0,"[3.0616454906638806, 1.105984150113112, 0.0]",100.0,None,0,"[2.924301309633198, 2.826522978883029, 0.0]",100.0,None,0,"[0.9971479404172133, 0.9946322555341037, 0.6572272078317782]",100.0,None,0,"[0.9735719021490237, 2.970203868157917, 0.6819088286847615]",100.0
110.27,,0,4,0,None,0,"[3.0711171189728748, 1.1167780800834393, 0.0]",100.0,None,0,"[2.906849290484335, 2.7917502372778658, 0.0]",100.0,None,0,"[0.997520918088481, 0.9941886278815998, 0.6572700871521454]",100.0,None,0,"[0.9742346493109101, 2.9702191722745708, 0.6819252387602935]",100.0
120.73,,0,4,0,None,0,"[3.0845723901051048, 1.1316523458213779, 0.0]",100.0,None,0,"[2.910601009850603, 2.778512189337339, 0.0]",100.0,None,0,"[0.9975707307050911, 0.9938062715570131, 0.6572710753606615]",100.0,None,0,"[0.9748714974114348, 2.9703024865041066, 0.6819429169889629]",100.0
131.825,,0,4,0,None,0,"[3.100658967968693, 1.1494270258427164, 0.0]",100.0,None,0,"[2.9167168597781816, 2.7641339554586453, 0.0]",100.0,None,0,"[0.9969927789496918, 0.9929912562182303, 0.6572139563475068]",100.0,None,0,"[0.9756999541768462, 2.970205055278019, 0.6819600091039714]",100.0
142.85,,0,4,0,None,0,"[3.1166260387603595, 1.167081388101879, 0.0]",100.0,None,0,"[2.925359858949322, 2.7489234909888856, 0.0]",100.0,None,0,"[0.9964515364692353, 0.9926286808990692, 0.6572210578314932]",100.0,None,0,"[0.9764481074767325, 2.970253802143133, 0.6819794609212918]",100.0
153.77,,0,4,0,None,0,"[3.1242030163833503, 1.1761159404749082, 0.0]",100.0,None,0,"[2.9301508194003167, 2.7284046577076118, 0.0]",100.0,None,0,"[0.9959249011313231, 0.9926261153805813, 0.6572624762534219]",100.0,None,0,"[0.9769965744410757, 2.970481146494002, 0.6819990608622674]",100.0
165.91,,0,4,0,None,0,"[3.1286066329709565, 1.1832511520075075, 0.0]",100.0,None,0,"[2.9422293746313097, 2.7023926614179072, 0.0]",100.0,None,0,"[0.9954146384315983, 0.9921976923724385, 0.6572290317417296]",100.0,None,0,"[0.9777757657473157, 2.970556512213806, 0.6820198990670829]",100.0
177.4,,0,4,0,None,0,"[3.132984985847637, 1.1856392054670768, 0.0]",100.0,None,0,"[2.965265105336139, 2.6865415421168444, 0.0]",100.0,None,0,"[0.9952366990523027, 0.9925160450532893, 0.6572568582765252]",100.0,None,0,"[0.978579054681737, 2.9705400268300477, 0.6820387746828179]",100.0
189.0,,0,4,0,None,0,"[3.1380449717002334, 1.1886231847698976, 0.0]",100.0,None,0,"[2.980176026500625, 2.6724717063570287, 0.0]",100.0,None,0,"[0.995186991634472, 0.9924374886901218, 0.6572033722661887]",100.0,None,0,"[0.9792717031499472, 2.9707135209868523, 0.6820602338563083]",100.0
199.79,,0,4,0,None,0,"[3.134495169525561, 1.1827109446835784, 0.0]",100.0,None,0,"[2.9934019313222158, 2.659389146506196, 0.0]",100.0,None,0,"[0.9947486220364179, 0.9919913937787367, 0.6572557805785101]",100.0,None,0,"[0.9800059493352118, 2.9707250005120356, 0.6820781479825657]",100.0
210.58,,0,4,0,None,0,"[3.1307888960175707, 1.1782181124370141, 0.0]",100.0,None,0,"[3.0035877213911433, 2.6518051143683796, 0.0]",100.0,None,0,"[0.9931081844262938, 0.9918807474659349, 0.6572360643000915]",100.0,None,0,"[0.9807305859478469, 2.970814931520577, 0.6820981372177065]",100.0
222.38,,0,4,0,None,0,"[3.123419721241383, 1.1763307327665424, 0.0]",100.0,None,0,"[3.012130366985036, 2.6452164063495487, 0.0]",100.0,None,0,"[0.9928719898935421, 0.991681517293377, 0.6571767665620782]",100.0,None,0,"[0.9813162880888975, 2.971336353151339, 0.6820454059715817]",100.0
233.795,,0,4,0,None,0,"[3.1258963718935546, 1.1708276107579831, 0.0]",100.0,None,0,"[3.0218780926802764, 2.6381013308513857, 0.0]",100.0,None,0,"[0.9922834396207009, 0.9919951963419619, 0.6571738029465813]",100.0,None,0,"[0.9817499720015161, 2.972136573404321, 0.6821574059779308]",100.0
244.42,,0,4,0,None,0,"[3.1212573314891516, 1.153752603987015, 0.0]",100.0,None,0,"[3.0327441183314665, 2.628467388375123, 0.0]",100.0,None,0,"[0.9918407682935262, 0.9937762382352562, 0.6572160664796602]",100.0,None,0,"[0.9826498346306928, 2.972562542228225, 0.6821098082967696]",100.0
256.56,,0,4,0,None,0,"[3.1172994595831143, 1.135526412750029, 0.0]",100.0,None,0,"[3.0444174232122774, 2.61351594826148, 0.0]",100.0,None,0,"[0.9899228610705827, 0.9937957194054108, 0.6569921352168387]",100.0,None,0,"[0.9835974979343092, 2.9727088167615805, 0.6821369276726713]",100.0
268.405,,0,4,0,None,0,"[3.1156370012571313, 1.1195955585934068, 0.0]",100.0,None,0,"[3.0554444668381873, 2.5993308137557403, 0.0]",100.0,None,0,"[0.9875493525540974, 0.9929645705928956, 0.6571303000786369]",100.0,None,0,"[0.9844214425652548, 2.9725902520859475, 0.6821466824722071]",100.0
279.31,,0,4,0,None,0,"[3.1144954561317704, 1.103784473952488, 0.0]",100.0,None,0,"[3.0634708038832583, 2.586843832067611, 0.0]",100.0,None,0,"[0.9854197970786269, 0.9919138898691651, 0.6571173504665434]",100.0,None,0,"[0.9852383721536396, 2.97267090278879, 0.6821684979901377]",100.0
290.575,,0,4,0,None,0,"[3.109139740075989, 1.103019406099516, 0.0]",100.0,None,0,"[3.065774614233183, 2.5727391852400063, 0.0]",100.0,None,0,"[0.9849052046491916, 0.991889433783366, 0.6571434683060737]",100.0,None,0,"[0.9860593644912675, 2.9730751904628896, 0.682205999000611]",100.0
301.78,,0,4,0,None,0,"[3.103307989809927, 1.1049155751367863, 0.0]",100.0,None,0,"[3.0711703133575368, 2.555942480108083, 0.0]",100.0,None,0,"[0.9853314859701671, 0.9920786862333331, 0.6571463046870243]",100.0,None,0,"[0.9866280056556879, 2.9731006753574065, 0.6822137365012527]",100.0
