,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
3.32,,,0,2,0,None,0,"[3.001041513654428, 1.0073032912126478, 0.0]",100,None,0,"[0.9988007968070034, 0.9993746907397374, 0.6572680208918396]",100
4.05,,pioneer3at_1,0,2,0,None,0,"[3.001278924220458, 1.0085642864887354, 0.0]",100,None,0,"[0.9987579631987524, 0.9993662226973378, 0.6572623675565842]",100
5.665,,UAV_1,0,2,0,None,0,"[3.002570793240601, 1.0119918751291528, 0.0]",100,None,0,"[0.9987797410971111, 0.9993490517655187, 0.6572157645732194]",100
24.02,,,0,2,0,None,0,"[3.0151469660467036, 1.0384513922555316, 0.0]",100.0,None,0,"[0.9980106681527764, 0.9991674292814275, 0.6572786920955624]",100.0
36.695,,,0,2,0,None,0,"[3.0214728145253593, 1.0507647713917752, 0.0]",100.0,None,0,"[0.997788825378026, 0.9989138205059157, 0.6572615878074284]",100.0
49.585,,,0,2,0,None,0,"[3.0284554906471266, 1.0626139691555279, 0.0]",100.0,None,0,"[0.9973794946366211, 0.9986956083437615, 0.657193024985291]",100.0
61.04,,,0,2,0,None,0,"[3.0351792274574825, 1.0728761842217853, 0.0]",100.0,None,0,"[0.9975440309096834, 0.9983504143853461, 0.6572609704417622]",100.0
74.05,,,0,2,0,None,0,"[3.043454874121477, 1.0842293047082352, 0.0]",100.0,None,0,"[0.9976624240522544, 0.9980502228488122, 0.6571936739062477]",100.0
86.9,,,0,2,0,None,0,"[3.052295677180681, 1.0952812272778911, 0.0]",100.0,None,0,"[0.9973421260654315, 0.9978222002445538, 0.657221565812064]",100.0
99.545,,,0,2,0,None,0,"[3.061682427234188, 1.1060025134428761, 0.0]",100.0,None,0,"[0.9974418643718868, 0.9977334595676232, 0.6571771809531656]",100.0
112.295,,,0,2,0,None,0,"[3.074214719612287, 1.1200398567407808, 0.0]",100.0,None,0,"[0.9974032807393343, 0.9974508350750432, 0.6572802966216531]",100.0
125.405,,,0,2,0,None,0,"[3.092750405283258, 1.1395594920998247, 0.0]",100.0,None,0,"[0.9973472207855728, 0.9976300899788817, 0.6572300643307062]",100.0
138.045,,,0,2,0,None,0,"[3.1125291107867086, 1.1574837857126148, 0.0]",100.0,None,0,"[0.9972621380964178, 0.9978292075917145, 0.6572593416802729]",100.0
150.28,,,0,2,0,None,0,"[3.1250553429554233, 1.170954626848961, 0.0]",100.0,None,0,"[0.9971124199368876, 0.9979362646986017, 0.6571869585073229]",100.0
162.225,,,0,2,0,None,0,"[3.1303845587243564, 1.1794505818215242, 0.0]",100.0,None,0,"[0.9971666164384995, 0.9981023292661716, 0.6572575908051713]",100.0
