,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_2_cur_maneuver,UAV_2_tasks_counter
661,4,4,3,approach,1,surroundings verification,3,assessment,0,assessment,0
668,4,4,3,approach,1,surroundings verification,3,assessment,0,assessment,0
674,4,4,3,approach,1,surroundings verification,3,assessment,0,assessment,0
680,4,4,3,approach,1,surroundings verification,3,assessment,0,assessment,0
686,3,3,3,approach,1,surroundings verification,3,None,0,assessment,0
688,3,3,3,approach,1,surroundings verification,3,safe land,0,assessment,0
690,3,3,3,None,1,surroundings verification,3,safe land,0,assessment,0
691,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
698,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
706,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
714,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
721,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
728,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
735,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
740,3,3,4,teleoperation,1,surroundings verification,3,None,0,assessment,0
741,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
748,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
755,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
762,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
763,3,3,4,teleoperation,1,surroundings verification,3,safe land,0,assessment,0
