,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
1260.655,,,2,2,1,None,2,"[55.40715068445059, 23.356715585074625, 0.0]",67.42530059814453,exploration,4,"[31.094414108876887, 30.80366973294209, 0.0]",59.90999984741211,return to base,0,"[46.77279534001992, 21.07081910244346, 8.604926574680475]",42.36800003051758,victim search,1,"[12.528338540686738, 20.0039041098566, 5.313214364843809]",50.010101318359375
1273.275,,,2,2,1,None,2,"[55.43327315235965, 23.298341795137464, 0.0]",67.32530212402344,exploration,4,"[31.218165254335513, 31.446714430759133, 0.0]",59.119998931884766,return to base,0,"[45.895132016980504, 21.974459781602555, 8.53391386058954]",41.56800079345703,victim search,1,"[13.272516929191582, 20.02452512332078, 6.729298727089245]",49.208099365234375
1285.16,,,2,2,1,None,2,"[55.463319707070184, 23.23392756370175, 0.0]",67.27529907226562,exploration,4,"[31.175784875008908, 31.35323917994666, 0.0]",57.540000915527344,return to base,0,"[43.32607010270199, 20.82554406684637, 8.29836224827617]",40.47999954223633,victim search,1,"[14.838183353547096, 19.99902717898505, 3.707970225329001]",47.85210037231445
1296.44,,,2,2,1,None,2,"[55.49583404933693, 23.177141055141817, 0.0]",67.22530364990234,exploration,4,"[31.0596224339424, 30.734014943364176, 0.0]",56.75,return to base,0,"[40.04819096857311, 19.369710055361438, 8.097437752346034]",39.7599983215332,victim search,1,"[14.997397747578802, 19.995315655294, 3.703447182460067]",47.4901008605957
1306.455,,,2,2,1,None,2,"[55.52565662902195, 23.126842937643342, 0.0]",67.17530059814453,exploration,4,"[31.02073919213494, 31.22973386897613, 0.0]",55.959999084472656,return to base,0,"[40.49805919958855, 19.466159533065756, 8.290884236019807]",39.27199935913086,victim search,1,"[15.001432371139082, 21.929402112909866, 5.69200611043431]",46.78409957885742
1316.04,uav_er_rb,UAV_1,2,2,1,None,2,"[55.5548235057845, 23.07530094141275, 0.0]",67.12529754638672,exploration,4,"[30.9812355088809, 30.166601812825608, 0.0]",55.16999816894531,None,0,"[40.05081402477313, 19.155494969768405, 8.30632355094159]",38.58399963378906,victim search,1,"[14.945275453616498, 21.95330518812812, 5.385909052232915]",46.190101623535156
1316.65,uav_req_assist,UAV_1,2,2,1,None,2,"[55.557225695096825, 23.07241090356087, 0.0]",67.12529754638672,exploration,4,"[30.975296877598947, 30.089707427734716, 0.0]",55.16999816894531,None,0,"[40.059263878931105, 19.160014270569576, 8.3061728415232]",38.58399963378906,victim search,1,"[14.691875895766525, 21.982704789508816, 5.007597464083489]",46.190101623535156
1323.295,uav_call_tele,UAV_1,2,2,1,None,2,"[55.576654405800596, 23.04115081423727, 0.0]",67.07530212402344,exploration,4,"[30.978421376732637, 29.22443492531925, 0.0]",55.16999816894531,None,0,"[40.0659823519375, 19.163841781535258, 8.305260230251866]",38.58399963378906,victim search,1,"[13.40148056829123, 22.000009313349384, 3.534544434066743]",46.190101623535156
1326.16,uav_st_tele,UAV_1,2,2,2,None,2,"[55.58563140969164, 23.026237361111104, 0.0]",67.07530212402344,exploration,4,"[31.018768776039117, 28.84550277440102, 0.0]",54.380001068115234,teleoperation,0,"[40.06609684739214, 19.163917622649645, 8.30511516783892]",38.50400161743164,victim search,1,"[13.350194751477856, 21.999358496549085, 3.548490125193501]",45.372100830078125
1337.62,,,2,2,2,None,2,"[55.6226199754211, 22.971554879115793, 0.0]",67.02529907226562,exploration,4,"[31.059903347764436, 27.391243439159517, 0.0]",53.59000015258789,teleoperation,0,"[40.066146234207274, 19.163947968517217, 7.457159585005247]",38.50400161743164,victim search,1,"[12.798149499836923, 22.009101199847315, 4.242381153382079]",45.03409957885742
1348.175,,,2,2,2,None,2,"[55.65641292105997, 22.928778968219486, 0.0]",66.97530364990234,exploration,4,"[31.00169154126106, 26.028553671723564, 0.0]",52.79999923706055,teleoperation,0,"[40.274441581600996, 19.149505608170934, 7.337424821937568]",38.04800033569336,victim search,1,"[11.679577976760552, 21.99947910328409, 5.592589932630932]",44.20009994506836
1358.485,,,2,2,2,None,2,"[55.74542952557068, 22.89961456829742, 0.0]",66.92530059814453,exploration,4,"[30.759513709053405, 24.91920123642336, 0.0]",52.0099983215332,teleoperation,0,"[41.47633386967461, 18.989067367536254, 7.347623680140183]",37.551998138427734,victim search,1,"[10.694681297768977, 22.018059886895042, 4.4094997382623955]",43.638099670410156
1367.96,,,2,2,2,None,2,"[55.89103918333877, 22.899161844074214, 0.0]",66.87529754638672,exploration,4,"[31.835751726152537, 25.929228831059547, 0.0]",51.220001220703125,teleoperation,0,"[41.82753348694584, 19.090324208764926, 7.362441057848213]",37.03200149536133,victim search,1,"[10.002117235645468, 21.999503331875733, 3.8342772451621108]",42.78810119628906
1377.1,,,2,2,2,None,2,"[55.93441084722005, 23.022682268446196, 0.0]",66.82530212402344,exploration,4,"[31.066361821480154, 29.26604554299948, 0.0]",50.43000030517578,teleoperation,0,"[41.83895082071917, 19.076515285276393, 5.164073361574667]",36.45600128173828,victim search,1,"[9.999258002197863, 23.35448508668551, 4.648228554884345]",42.25809860229492
1386.565,,,2,2,2,None,2,"[55.977793609172785, 23.07982254012364, 0.0]",66.77529907226562,exploration,4,"[30.993227328104915, 31.020592694650812, 0.0]",49.63999938964844,teleoperation,0,"[41.659495255624584, 19.219877845595516, 4.385162714355065]",35.768001556396484,victim search,1,"[9.973974267473782, 23.94050143782711, 5.054135941536031]",41.592098236083984
