,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.295,,pioneer3at_1,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,"[0.9941431007198884, 2.9951152342957474, 0.6828602153464367]",100
0.355,,UAV_2,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,"[0.9946710789646386, 2.9942488336977555, 0.6829582314078201]",100
7.645,,,0,4,0,None,0,"[3.0030018655387014, 1.012964366669287, 0.0]",100,None,0,"[2.998889727409715, 2.984403627337226, 0.0]",100,None,0,"[0.9953606317598028, 0.9986921040189303, 0.6572180595367607]",100,None,0,"[0.9786621571159317, 2.984535544145085, 0.6823539754639546]",100
20.85,,,0,4,0,None,0,"[3.01287734475524, 1.0337851062586847, 0.0]",100.0,None,0,"[2.995283542094415, 2.969028950040326, 0.0]",100.0,None,0,"[0.9956378534169809, 0.9988171294363134, 0.6572398592765695]",100.0,None,0,"[0.9801988760324732, 2.984085906171621, 0.6823501680984734]",100.0
33.68,,,0,4,0,None,0,"[3.019068510362102, 1.046433394134398, 0.0]",100.0,None,0,"[2.9920713776108774, 2.954188651118642, 0.0]",100.0,None,0,"[0.9954420633139657, 0.9982372556449925, 0.6572418630818158]",100.0,None,0,"[0.9815181514870391, 2.9835540144002604, 0.6823635364805694]",100.0
43.56,,,1,4,0,None,0,"[3.0242369038777634, 1.0557727692410608, 0.0]",100.0,None,0,"[2.9904977265640964, 2.9421624481021103, 0.0]",100.0,None,0,"[0.9951345277992689, 0.9982389921008078, 0.6572436709141322]",100.0,None,0,"[0.9828637233594075, 2.9836391583116506, 0.6824863572236828]",100.0
44.08,on_gs,pioneer3at_2,1,4,0,None,0,"[3.0245079336514666, 1.0562354818736948, 0.0]",100.0,None,0,"[2.990395744360719, 2.941517089384465, 0.0]",100.0,None,0,"[0.9951121434257623, 0.9981634042362434, 0.6572465715872139]",100.0,None,0,"[0.9830790964842556, 2.9835021520367087, 0.682488004098099]",100.0
44.6,on_vs,pioneer3at_2,1,4,0,None,0,"[3.024836190449194, 1.0567608689738512, 0.0]",100.0,None,0,"[2.9901607856037327, 2.941077594517936, 0.0]",100.0,None,0,"[0.995011212486476, 0.9981841044618985, 0.6571744773377114]",100.0,None,0,"[0.983084562260856, 2.983531232778393, 0.6824889946538304]",100.0
46.855,st_app,pioneer3at_2,1,4,0,None,0,"[3.0260978140349035, 1.0588760029309423, 0.0]",100.0,approach,0,"[3.608584059673671, 2.769655484967021, 0.0]",100.0,None,0,"[0.9950270352433088, 0.9981903883482393, 0.6572428458501901]",100.0,None,0,"[0.9834839323543128, 2.9833927887493354, 0.6824947004882999]",100.0
