,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
0.375,,pioneer3at_1,0,2,0,None,0,"[3.0, 1.0, 0.0]",100,None,0,[],100
0.415,,UAV_1,0,2,0,None,0,"[3.0010773506020456, 1.001460652617657, 0.0]",100,None,0,[],100
10.46,,,0,2,0,None,0,"[3.0069445644210893, 1.021737237982422, 0.0]",100.0,None,0,"[0.9985520553550872, 0.9994205167170616, 0.657202261856986]",100.0
25.565,,,0,2,0,None,0,"[3.0159915232100456, 1.0401597922735173, 0.0]",100.0,None,0,"[0.9980067520569874, 0.9991261845143676, 0.6572630478463547]",100.0
41.2,,,0,2,0,None,0,"[3.0239033276628997, 1.0550775520587512, 0.0]",100.0,None,0,"[0.9975920411813741, 0.9988452270758169, 0.6572602431616208]",100.0
57.46,,,0,2,0,None,0,"[3.033158717930592, 1.0698788403286064, 0.0]",100.0,None,0,"[0.9975457150860696, 0.9984527211921823, 0.6572613758433727]",100.0
74.015,,,0,2,0,None,0,"[3.0435871120121645, 1.0844020419359024, 0.0]",100.0,None,0,"[0.997495777512385, 0.9980608983994974, 0.6572251133372877]",100.0
89.71,,,0,2,0,None,0,"[3.054492582649591, 1.0978492857932824, 0.0]",100.0,None,0,"[0.9973666446473528, 0.9978898696531218, 0.6572599303189475]",100.0
104.97,,,0,2,0,None,0,"[3.065885140457356, 1.110765445034015, 0.0]",100.0,None,0,"[0.9973598868657233, 0.9976504173830418, 0.6572603932987788]",100.0
119.965,,,0,2,0,None,0,"[3.0854251797211583, 1.132427019530551, 0.0]",100.0,None,0,"[0.9972120130015019, 0.9975652525885155, 0.6572170888179235]",100.0
136.075,,,0,2,0,None,0,"[3.1096066149731736, 1.1547412547020508, 0.0]",100.0,None,0,"[0.9973490334565347, 0.9977907367726317, 0.6572599685505439]",100.0
150.165,,,0,2,0,None,0,"[3.1250544108285636, 1.1709871651077444, 0.0]",100.0,None,0,"[0.9970483129890656, 0.9978959644179877, 0.657287406885481]",100.0
165.215,,,0,2,0,None,0,"[3.130854908651486, 1.1815690459889396, 0.0]",100.0,None,0,"[0.997093354013172, 0.9980812498975559, 0.657258291567864]",100.0
181.11,,,0,2,0,None,0,"[3.1350274425277895, 1.1875681758213896, 0.0]",100.0,None,0,"[0.9970043825073065, 0.9981736130726556, 0.6571937579027797]",100.0
194.23,,,0,2,0,None,0,"[3.1350388316954296, 1.1845542909494033, 0.0]",100.0,None,0,"[0.9967029806288816, 0.9976362807083105, 0.6571702024728593]",100.0
208.355,,,0,2,0,None,0,"[3.1316522270897367, 1.178420869278517, 0.0]",100.0,None,0,"[0.9962607207343562, 0.9974756476342328, 0.6572515541202719]",100.0
222.465,,,0,2,0,None,0,"[3.1231839370524184, 1.1756492194999772, 0.0]",100.0,None,0,"[0.9958065455613191, 0.9977473577788152, 0.6572271010966753]",100.0
235.495,,,1,2,0,None,0,"[3.124870952712097, 1.1672626189804478, 0.0]",100.0,None,0,"[0.9956815498210265, 0.9979148001345859, 0.6572093511577253]",100.0
236.445,on_gs,pioneer3at_1,1,2,0,None,0,"[3.1244142615171078, 1.165638195393787, 0.0]",100.0,None,0,"[0.995735550123313, 0.9978986083075706, 0.6572495607291156]",100.0
237.24,on_vs,pioneer3at_1,1,2,0,None,0,"[3.124046397486601, 1.1643449412186313, 0.0]",100.0,None,0,"[0.9957364696983301, 0.9978989113661042, 0.6572495362527564]",100.0
241.255,st_app,pioneer3at_1,1,2,0,approach,0,"[3.2013768038194215, 1.1043095222458916, 0.0]",99.75469970703125,None,0,"[0.9957338859271755, 0.9981413124962034, 0.657244363817887]",100.0
252.245,,,1,2,0,approach,0,"[7.443841088285444, 1.389960726360094, 0.0]",98.9646987915039,None,0,"[0.9953184420727786, 0.998762073618391, 0.6570477881078306]",100.0
263.09,,,1,2,0,approach,0,"[11.794065949665777, 2.307740790794553, 0.0]",98.17469787597656,None,0,"[0.9947412491846007, 0.9988897757459688, 0.6572426442812574]",100.0
