,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
0.15,,pioneer3at_1,0,2,0,None,0,[],100,None,0,"[0.9998550127989987, 0.9948412497163421, 0.6561906804390766]",100
33.32,,UAV_1,0,2,0,None,0,"[3.01944935999454, 1.0469726139908262, 0.0]",100.0,None,0,"[0.9978573828191695, 0.9990151606670752, 0.6572232978104444]",100.0
53.705,,,0,2,0,None,0,"[3.030516178120589, 1.0658609064182198, 0.0]",100.0,None,0,"[0.9974752874923184, 0.9985575475250051, 0.6571939869631545]",100.0
71.055,,,0,2,0,None,0,"[3.0410743112748104, 1.0811000451607884, 0.0]",100.0,None,0,"[0.9976001772453594, 0.9981061634747017, 0.657262205702796]",100.0
87.735,,,0,2,0,None,0,"[3.0524706997480036, 1.0954639333805698, 0.0]",100.0,None,0,"[0.9974068215974722, 0.9978854813326034, 0.6572604372303171]",100.0
104.7,,,0,2,0,None,0,"[3.0650166895027233, 1.10975341730283, 0.0]",100.0,None,0,"[0.9973410283404457, 0.9976335341016533, 0.6572600417267618]",100.0
120.925,,,0,2,0,None,0,"[3.0857865867502787, 1.1328368390558485, 0.0]",100.0,None,0,"[0.9974047797029215, 0.9975911521192571, 0.6571873498414519]",100.0
136.45,,,0,2,0,None,0,"[3.109256387200329, 1.1543780640820218, 0.0]",100.0,None,0,"[0.9973472694415583, 0.997842818406534, 0.6572604160260203]",100.0
152.005,,,0,2,0,None,0,"[3.1256354997032907, 1.1718587322426601, 0.0]",100.0,None,0,"[0.9970235297416519, 0.9980391635577548, 0.6571951019556844]",100.0
167.305,,,0,2,0,None,0,"[3.1313516929816068, 1.1817950639746215, 0.0]",100.0,None,0,"[0.9970058163121857, 0.9980712882895568, 0.6572571016364036]",100.0
184.58,,,0,2,0,None,0,"[3.1369948466261777, 1.1890457701898605, 0.0]",100.0,None,0,"[0.9967762716988995, 0.9980484143376359, 0.6571919541513711]",100.0
200.87,,,0,2,0,None,0,"[3.1338863313953627, 1.181826930223031, 0.0]",100.0,None,0,"[0.9963415006945373, 0.9975933548657995, 0.6571985420485043]",100.0
217.29,,,0,2,0,None,0,"[3.125699028491693, 1.1763020150867998, 0.0]",100.0,None,0,"[0.9958797723578942, 0.9977074454933489, 0.6572512787906356]",100.0
232.37,,,0,2,0,None,0,"[3.1259171933918712, 1.1731446061508888, 0.0]",100.0,None,0,"[0.9957416627546324, 0.9978909508415843, 0.6572495631117101]",100.0
248.06,,,0,2,0,None,0,"[3.1200588782451315, 1.1490100258373244, 0.0]",100.0,None,0,"[0.9956023264966665, 0.998671816273541, 0.657185764786949]",100.0
264.82,,,0,2,0,None,0,"[3.116329417148616, 1.1247867537431808, 0.0]",100.0,None,0,"[0.994734421004677, 0.9989621805864645, 0.6572521328929712]",100.0
279.625,,,0,2,0,None,0,"[3.1144701208332832, 1.1036021660196322, 0.0]",100.0,None,0,"[0.9940495893730255, 0.9992635252073474, 0.6571673068691875]",100.0
294.44,,,0,2,0,None,0,"[3.1072317729706684, 1.1037134873257808, 0.0]",100.0,None,0,"[0.9940178150539322, 0.9997035886316143, 0.6572312505734638]",100.0
309.005,,,0,2,0,None,0,"[3.1013019284556362, 1.1051366033920842, 0.0]",100.0,None,0,"[0.9942063406460806, 1.0002497347185777, 0.6572307939876533]",100.0
323.175,,,0,2,0,None,0,"[3.0923819467618805, 1.1089453205395359, 0.0]",100.0,None,0,"[0.99485183443466, 1.0006607222302903, 0.6572337152692395]",100.0
337.855,,,0,2,0,None,0,"[3.081755627540305, 1.1034746997870153, 0.0]",100.0,None,0,"[0.995210715024178, 1.000528426540564, 0.6570452204195051]",100.0
353.665,,,0,2,0,None,0,"[3.0756718514397177, 1.09143405734637, 0.0]",100.0,None,0,"[0.9948837834393093, 1.0005505848629084, 0.6572354366716847]",100.0
367.15,,,0,2,0,None,0,"[3.071956507324496, 1.083781278834609, 0.0]",100.0,None,0,"[0.9948259976267546, 1.0007081585878093, 0.6572339374793043]",100.0
380.765,,,0,2,0,None,0,"[3.0681991665584594, 1.0763628299140142, 0.0]",100.0,None,0,"[0.9948173194187228, 1.0008416722154954, 0.657178523736703]",100.0
394.975,,,0,2,0,None,0,"[3.0643499336094933, 1.0697949389456736, 0.0]",100.0,None,0,"[0.9948198435882306, 1.0011858750270695, 0.6572334738609533]",100.0
408.08,,,0,2,0,None,0,"[3.060550306366545, 1.0643136899992092, 0.0]",100.0,None,0,"[0.9948622801327907, 1.0014185180703983, 0.6572362400915595]",100.0
408.19,,,1,2,0,None,0,"[3.060469861685901, 1.064272241142032, 0.0]",100.0,None,0,"[0.9948726506443906, 1.001426853091124, 0.6572335644370828]",100.0
415.62,on_gs,pioneer3at_1,1,2,0,None,0,"[3.0575116944623404, 1.0602437243911216, 0.0]",100.0,None,0,"[0.9948956740324922, 1.0016034633199868, 0.6572354548086726]",100.0
416.49,on_vs,pioneer3at_1,1,2,0,None,0,"[3.0568987002361068, 1.0595817916921348, 0.0]",100.0,None,0,"[0.9948000050841844, 1.0015279026052737, 0.6571735939527025]",100.0
419.53,st_app,pioneer3at_1,1,2,0,approach,0,"[3.2851639022292702, 0.6306773360874274, 0.0]",99.91829681396484,None,0,"[0.9948729841239409, 1.0015316123767664, 0.6571804115480416]",100.0
431.155,,,1,2,0,approach,0,"[7.5168264507786375, 1.8107005164280991, 0.0]",99.12830352783203,None,0,"[0.9949319684985626, 1.0018324381931756, 0.6571937468403128]",100.0
443.26,,,1,2,0,approach,0,"[12.319219000172806, 2.9834402583280286, 0.0]",98.33830261230469,None,0,"[0.9949292414220858, 1.0021272643101613, 0.6572313861678514]",100.0
