,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
0.185,,UAV_1,0,2,0,None,0,[],100,None,0,[],100
18.675,,,0,2,0,None,0,"[3.0127149999614513, 1.0332033315502775, 0.0]",100.0,None,0,"[0.9982816062755575, 0.9993468187268653, 0.6572681393844905]",100.0
34.09,,,0,2,0,None,0,"[3.020235980509972, 1.0484855714122303, 0.0]",100.0,None,0,"[0.9977881130495765, 0.9990726711800316, 0.6571993820305837]",100.0
44.535,,,0,2,0,None,0,"[3.025752438378703, 1.0582197422531756, 0.0]",100.0,None,0,"[0.9975508447813765, 0.9988097623585023, 0.6572564634713363]",100.0
45.965,on_gs,pioneer3at_1,1,2,0,None,0,"[3.026551298269911, 1.0595180184866246, 0.0]",100.0,None,0,"[0.997484692611835, 0.9987721159608594, 0.6572179737505858]",100.0
47.27,on_vs,pioneer3at_1,1,2,0,None,0,"[3.027304278252722, 1.0607824893084499, 0.0]",100.0,None,0,"[0.9975887180579708, 0.9987201514019998, 0.657260630835191]",100.0
51.08,st_app,pioneer3at_1,1,2,0,approach,0,"[3.9099394346148646, 1.1054067011250064, 0.0]",99.74430084228516,None,0,"[0.9974204051225357, 0.998699071716784, 0.6572006191513546]",100.0
63.505,,,1,2,0,approach,0,"[8.840417237451948, 2.333298774434448, 0.0]",98.95429992675781,None,0,"[0.9975727844105283, 0.9983101716267997, 0.6572229071210214]",100.0
75.09,,,1,2,0,approach,0,"[13.50777636235236, 2.8131959962625754, 0.0]",98.16429901123047,None,0,"[0.9975506437670129, 0.9980653452097974, 0.657261541666715]",100.0
87.405,,,1,2,0,approach,0,"[18.484328779455442, 3.6837211217069235, 0.0]",97.37429809570312,None,0,"[0.9974090690129827, 0.9977672872666998, 0.6572615728708147]",100.0
99.9,,,1,2,0,approach,0,"[23.55074136084305, 4.469759700194265, 0.0]",96.58429718017578,None,0,"[0.9971948079565561, 0.9978372979137086, 0.6572120471943064]",100.0
111.55,,,1,2,0,approach,0,"[28.266774639246876, 5.180138659376315, 0.0]",95.00430297851562,None,0,"[0.9973597158470233, 0.9974962073711475, 0.6572618002368313]",100.0
122.41,,,1,2,0,approach,0,"[32.66252965917604, 5.796175500716886, 0.0]",94.21430206298828,None,0,"[0.9973209793142928, 0.9976238500764997, 0.6572604863934194]",100.0
