,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery
0.0,,,0,2,0,None,0,[],100,None,0,[],100
0.575,,UAV_1,0,2,0,None,0,[],100,None,0,[],100
22.095,,pioneer3at_1,0,2,0,None,0,"[3.014318698433138, 1.03667181808274, 0.0]",100.0,None,0,"[0.9981982581635261, 0.9992681180537275, 0.6572640151427458]",100.0
36.23,,,0,2,0,None,0,"[3.0213170908528966, 1.050481000219831, 0.0]",100.0,None,0,"[0.9978119031157257, 0.9989690063195822, 0.657261726610416]",100.0
52.0,,,0,2,0,None,0,"[3.029970272491403, 1.0650388425257482, 0.0]",100.0,None,0,"[0.9974564956550875, 0.9985975632489739, 0.6572601223151512]",100.0
65.125,,,0,2,0,None,0,"[3.0378601644131247, 1.0766664206162013, 0.0]",100.0,None,0,"[0.9976318960819465, 0.9981979133445754, 0.6571840653581059]",100.0
79.32,,,0,2,0,None,0,"[3.047152071728533, 1.0889641060962383, 0.0]",100.0,None,0,"[0.9974674123121723, 0.9979975819950057, 0.6572608761446557]",100.0
94.315,,,0,2,0,None,0,"[3.057814457411966, 1.101674567865339, 0.0]",100.0,None,0,"[0.9971896564260135, 0.9978572180722919, 0.6572166577788335]",100.0
107.57,,,0,2,0,None,0,"[3.0685192066447624, 1.113817656884608, 0.0]",100.0,None,0,"[0.9972957158587306, 0.9976258783619748, 0.6572188960861343]",100.0
122.475,,,0,2,0,None,0,"[3.0890792467727874, 1.1363654135667558, 0.0]",100.0,None,0,"[0.9973209793142928, 0.9976238500764997, 0.6572604863934194]",100.0
135.145,,,0,2,0,None,0,"[3.1084538571485645, 1.1536750983949933, 0.0]",100.0,None,0,"[0.9973181302896249, 0.9977557220763845, 0.6572710246516625]",100.0
151.675,,,0,2,0,None,0,"[3.125892282355303, 1.1722622831099514, 0.0]",100.0,None,0,"[0.9970396588439161, 0.9979043535737007, 0.6572873251832091]",100.0
166.8,,,0,2,0,None,0,"[3.1314724752550025, 1.1817539647117137, 0.0]",100.0,None,0,"[0.9970783762134623, 0.9980774510856744, 0.6572582238494552]",100.0
180.755,,,0,2,0,None,0,"[3.1347287632458047, 1.1873473820402376, 0.0]",100.0,None,0,"[0.9969985417659701, 0.9982315047634094, 0.6572567128787913]",100.0
195.3,,,0,2,0,None,0,"[3.134863149819203, 1.1842344232903905, 0.0]",100.0,None,0,"[0.9966801819797003, 0.9976664768537019, 0.6571972403800687]",100.0
208.995,,,0,2,0,None,0,"[3.1311864539326297, 1.178170863325852, 0.0]",100.0,None,0,"[0.9962366988860973, 0.9974649190184689, 0.6572557219775473]",100.0
219.525,,,0,2,0,None,0,"[3.1236541798787503, 1.17573153928185, 0.0]",100.0,None,0,"[0.9958534234155145, 0.9977170172940917, 0.6572505100881371]",100.0
231.92,,,0,2,0,None,0,"[3.125986881573448, 1.1727646531551192, 0.0]",100.0,None,0,"[0.9957484002266211, 0.9978383928408974, 0.6572240470326042]",100.0
245.65,,,0,2,0,None,0,"[3.120556237592099, 1.151085461991562, 0.0]",100.0,None,0,"[0.9956519588387314, 0.9984045728261647, 0.6571980779084265]",100.0
257.245,,,0,2,0,None,0,"[3.116947565708928, 1.1337307356804291, 0.0]",100.0,None,0,"[0.9950979069098563, 0.9988049986584892, 0.6570474909775971]",100.0
268.1,,,0,2,0,None,0,"[3.1155601713503125, 1.1193058966062737, 0.0]",100.0,None,0,"[0.9947419777309323, 0.9989053399725002, 0.6571784772808119]",100.0
281.99,,,0,2,0,None,0,"[3.113441685359348, 1.1020714603097777, 0.0]",100.0,None,0,"[0.9941090094712552, 0.9993095841147729, 0.6571902971976705]",100.0
294.585,,,0,2,0,None,0,"[3.1067605222216765, 1.1038609193707263, 0.0]",100.0,None,0,"[0.9939677316674794, 0.9996085932933728, 0.6572312960173488]",100.0
309.025,,,0,2,0,None,0,"[3.1014899111372043, 1.1045652734323756, 0.0]",100.0,None,0,"[0.9941237145968194, 1.0001725611533216, 0.6572425539245283]",100.0
