,event,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
1833.395,,3,3,2,approach,3,"[36.6620431655326, 19.7442555352814, 0.0]",84.068603515625,exploration,5,"[30.493651937089695, 17.937018056697582, 0.0]",69.63590240478516,assessment,1,"[7.929854504085577, 4.4523621204604416, 1.8880290436967615]",68.11199951171875,None,0,"[54.45614812312337, 16.184176448018366, 1.381257031167178]",23.29949951171875
1841.5,,3,3,2,approach,3,"[32.951059422607074, 17.816030269329783, 0.0]",83.57859802246094,exploration,5,"[30.309170118306465, 17.755057859418095, 0.0]",69.21990203857422,assessment,1,"[10.916132155910121, 5.935141214745357, 2.0351109056823273]",67.34400177001953,None,0,"[54.45576442126165, 16.183962264556378, 1.3812671555074236]",23.20949935913086
1845.345,end_app,3,3,2,None,3,"[32.464241801417415, 17.520882727811724, 0.0]",83.57859802246094,exploration,5,"[30.133930858217546, 17.68265076410416, 0.0]",69.21990203857422,assessment,1,"[11.9380870684429, 6.442585003296716, 2.08870260344292]",67.34400177001953,None,0,"[54.45572736758877, 16.183949070717944, 1.3812831250063986]",23.20949935913086
1846.0,,2,3,2,None,4,"[32.462357472218834, 17.51465635295882, 0.0]",83.57859802246094,exploration,5,"[30.11844490658137, 17.666663055812407, 0.0]",69.21990203857422,assessment,1,"[11.803959576033435, 6.375950157600902, 2.093448490686913]",67.34400177001953,None,0,"[54.455726959345284, 16.18394879991103, 1.3812830704227361]",23.20949935913086
1846.04,off_vs,3,3,2,None,4,"[32.46224549536651, 17.51419219152171, 0.0]",83.57859802246094,exploration,5,"[30.11660920306159, 17.671188567714836, 0.0]",69.21990203857422,assessment,1,"[11.790092958786172, 6.369060193714936, 2.0940034225625475]",67.34400177001953,None,0,"[54.45572692811582, 16.183948779152757, 1.3812830661239286]",23.20949935913086
1846.535,on_vs,3,3,2,None,4,"[32.460756499137254, 17.509405920168845, 0.0]",83.57859802246094,exploration,5,"[30.111470566975743, 17.65477730103452, 0.0]",69.21990203857422,assessment,1,"[11.6553844736288, 6.302121656396601, 2.0980428547136527]",67.34400177001953,None,0,"[54.4557266409317, 16.183948588169557, 1.3812830265103417]",23.20949935913086
1848.45,st_app,3,3,2,approach,4,"[32.473303521914765, 17.39839528824001, 0.0]",83.57859802246094,exploration,5,"[30.03129340734345, 17.602309681763735, 0.0]",69.21990203857422,assessment,1,"[12.511214621859217, 6.727086071135353, 2.1383133291963428]",67.34400177001953,None,0,"[54.455725430405934, 16.183947783076476, 1.38128285934802]",23.20949935913086
1856.58,,3,3,2,approach,4,"[31.524710700422787, 13.831660357820528, 0.0]",83.16290283203125,exploration,5,"[30.34848731140627, 19.781423186084602, 0.0]",68.67990112304688,assessment,1,"[14.838010515870039, 7.882492688754486, 2.253324353445541]",66.57599639892578,None,0,"[54.45559507921931, 16.183877425201345, 1.381290737114152]",23.11949920654297
1863.855,,3,3,2,approach,4,"[31.60875078630995, 10.192839021505193, 0.0]",82.67289733886719,exploration,5,"[30.379952845087967, 20.271925538546892, 0.0]",68.13990020751953,assessment,1,"[16.769998361151686, 8.841785680352954, 2.363130445312852]",65.8239974975586,None,0,"[54.45559045256167, 16.183874347784965, 1.3812900979141158]",23.029499053955078
1871.65,,3,3,2,approach,4,"[33.592908706081964, 6.863868640639624, 0.0]",82.18289947509766,exploration,5,"[30.38011403357508, 20.209053448102278, 0.0]",67.59989929199219,assessment,1,"[18.56342614077616, 9.732247648630121, 2.478580732118009]",65.04000091552734,None,0,"[54.45548025637721, 16.18380641813318, 1.3812806973042329]",22.93950080871582
1879.54,,3,3,2,approach,4,"[37.46503299897838, 7.0695412609591175, 0.0]",81.69290161132812,exploration,5,"[30.14352068796753, 20.16186253755202, 0.0]",67.59989929199219,assessment,1,"[20.338661045274428, 10.613650357405366, 2.592845425312958]",64.27200317382812,None,0,"[54.45537767966826, 16.183848254714373, 1.381332365382775]",22.93950080871582
1884.755,end_app,3,3,2,None,4,"[39.46330135376177, 7.170697064077932, 0.0]",81.69290161132812,exploration,5,"[30.253969842997883, 20.34271453099505, 0.0]",67.05989837646484,assessment,1,"[22.067436811977966, 11.472061916785687, 2.683044503423099]",64.27200317382812,None,0,"[54.455069812616514, 16.18356552452326, 1.3813009289620288]",22.84950065612793
1885.315,,2,3,2,None,5,"[39.46171983088266, 7.171450789008785, 0.0]",81.69290161132812,exploration,5,"[30.234064684177795, 20.33915946670065, 0.0]",67.05989837646484,assessment,1,"[22.555710874889307, 11.714579708833687, 2.6941444556053415]",64.27200317382812,None,0,"[54.45509788164625, 16.18350340362854, 1.3813316593728067]",22.84950065612793
1885.45,off_vs,3,3,2,None,5,"[39.46172987488222, 7.1715412721881515, 0.0]",81.69290161132812,exploration,5,"[30.2342548935184, 20.339505649268947, 0.0]",67.05989837646484,assessment,1,"[22.577476079692207, 11.725391730502583, 2.6933309086095165]",64.27200317382812,None,0,"[54.45509758809129, 16.18350341629101, 1.3813320715309791]",22.84950065612793
1885.8,on_gs,3,3,2,None,5,"[39.461803218105565, 7.171888113940485, 0.0]",81.69290161132812,exploration,5,"[30.231070637764063, 20.339554717716354, 0.0]",67.05989837646484,assessment,1,"[22.532667625556762, 11.703134833113625, 2.6943997916868665]",64.27200317382812,None,0,"[54.45505218397339, 16.18358117443685, 1.3812953611992902]",22.84950065612793
