,event,event_source,allocated_robots,available_robots,teleoperations,pioneer3at_1_cur_maneuver,pioneer3at_1_tasks_counter,pioneer3at_1_pose,pioneer3at_1_battery,pioneer3at_2_cur_maneuver,pioneer3at_2_tasks_counter,pioneer3at_2_pose,pioneer3at_2_battery,UAV_1_cur_maneuver,UAV_1_tasks_counter,UAV_1_pose,UAV_1_battery,UAV_2_cur_maneuver,UAV_2_tasks_counter,UAV_2_pose,UAV_2_battery
0.0,,,0,4,0,None,0,[],100,None,0,[],100,None,0,[],100,None,0,[],100
0.11,,UAV_2,0,4,0,None,0,[],100,None,0,[],100,None,0,"[1.0000000028510059, 1.0, 0.6534936298478959]",100,None,0,[],100
7.5649999999999995,,UAV_1,0,4,0,None,0,"[3.0030018655387014, 1.012964366669287, 0.0]",100,None,0,"[2.9988534000266056, 2.9847531307787176, 0.0]",100,None,0,"[0.9950017444275531, 0.9994960145535237, 0.657193914096613]",100,None,0,"[0.9698448333907531, 2.9694892647574416, 0.6817714851344846]",100
20.63,,,0,4,0,None,0,"[3.0128402253698936, 1.0336537373579981, 0.0]",100.0,None,0,"[2.995361696791625, 2.969408567271226, 0.0]",100.0,None,0,"[0.9954603047209566, 0.9988997174205745, 0.6572442561819798]",100.0,None,0,"[0.9710924553372542, 2.9690470016290944, 0.6817349618921792]",100.0
33.3,,,0,4,0,None,0,"[3.0189723497932155, 1.0462119980127764, 0.0]",100.0,None,0,"[2.992167782756436, 2.954754253023397, 0.0]",100.0,None,0,"[0.9974615967378634, 0.9988946494503826, 0.6572600911047346]",100.0,None,0,"[0.9724241784124629, 2.9687985965149624, 0.6817636936059036]",100.0
42.78,,,1,4,0,None,0,"[3.023861206988278, 1.0550946378204382, 0.0]",100.0,None,0,"[2.9905484588877393, 2.9434171313580526, 0.0]",100.0,None,0,"[0.998356585583608, 0.9988568616492031, 0.6572374450972449]",100.0,None,0,"[0.9734328625497782, 2.968500186380135, 0.6817732589443121]",100.0
43.465,on_vs,pioneer3at_2,1,4,0,None,0,"[3.024239048712687, 1.0557438529170184, 0.0]",100.0,None,0,"[2.9904460428938715, 2.9424806180820187, 0.0]",100.0,None,0,"[0.998425105986578, 0.9988603249337739, 0.6572379246341765]",100.0,None,0,"[0.973645037559078, 2.9686656250440424, 0.6817893730562787]",100.0
46.535,st_app,pioneer3at_2,1,4,0,None,0,"[3.025932260899937, 1.05860096147874, 0.0]",100.0,approach,0,"[3.7852379651321, 2.839164736388824, 0.0]",100.0,None,0,"[0.9987072652769206, 0.998874320066261, 0.6572399462078701]",100.0,None,0,"[0.9738048751934318, 2.9684921160088886, 0.6817822186366782]",100.0
56.38,,,1,4,0,None,0,"[3.03150280576972, 1.0674960247577565, 0.0]",100.0,approach,0,"[7.172718400843368, 4.869745898600606, 0.0]",99.51270294189453,None,0,"[0.9995940478200649, 0.9989741690399243, 0.6572682026769457]",100.0,None,0,"[0.9748963426427868, 2.9685778831880207, 0.6818175706038964]",100.0
58.93,uav_st_assess,UAV_2,2,4,0,None,0,"[3.0329800042222823, 1.0697227867583494, 0.0]",100.0,approach,0,"[7.870743588442324, 5.634231403334935, 0.0]",99.51270294189453,None,0,"[0.9998606311923093, 0.9990044998000375, 0.6572774913648127]",100.0,assessment,0,"[1.0188136661068463, 2.984771309768369, 1.488631299414325]",100.0
68.785,,,2,4,0,None,0,"[3.0390642810401163, 1.0784032646612856, 0.0]",100.0,approach,0,"[9.170588338062242, 7.482081036103816, 0.0]",98.77269744873047,None,0,"[1.0007505742430631, 0.9990401222551483, 0.6572840727155645]",100.0,assessment,0,"[1.006663186085871, 2.98646343529687, 1.5039229568358192]",99.83999633789062
